Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
donde se tramita el certificado de eficiencia energética,320,29,0.59,0.50,62300,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","1.00,0.31,0.04,0.04,0.04,0.52,0.04,0.04,0.04,0.02,0.01,0.01"
eficiencia energetica e,320,41,0.31,0.22,3990000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.82,0.82,0.82,1.00,0.66,0.82,0.66,1.00,0.82,0.82,0.82,0.82"
horno eficiencia energetica a+++,320,15,0.17,1.00,97600,Commercial,"Reviews, Site links, Image, People also ask","1.00,0.00,0.01,0.00,0.01"
ayudas eficiencia energetica,260,47,0.79,0.24,229000,"Informational, Commercial","People also ask, Image pack, Video carousel","0.34,0.43,0.65,0.65,0.65,0.81,0.81,1.00,0.65,0.81,1.00,0.81"
clase de eficiencia energetica,260,29,0.17,0.23,425000,Informational,"Reviews, FAQ, People also ask, Image pack","0.53,0.82,0.66,1.00,0.53,0.82,0.53,0.66,0.53,0.43,0.43,0.66"
eficiencia energetica b,260,40,0.30,0.14,925000,Informational,"Reviews, FAQ, People also ask, Image pack","0.02,0.02,0.45,1.00,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01"
eficiencia energetica en edificios,260,35,0.49,0.24,549000,"Informational, Commercial","Reviews, Site links, People also ask, Image pack, Video carousel","0.53,0.66,0.66,0.66,0.43,0.53,0.66,0.82,0.53,0.66,0.66,0.53"
eficiencia energetica en electrodomesticos,260,39,0.11,0.59,6530000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.82,0.82,0.66,0.82,0.43,0.66,0.43,0.66,0.53,0.43,0.35,0.53"
eficiencia energética e,260,41,0.31,0.22,25400000,Informational,"Featured snippet, Local pack, Reviews, Site links, FAQ, People also ask, Image pack","0.81,0.81,0.81,1.00,0.65,0.81,0.65,1.00,0.81,0.81,0.81,0.65"
etiqueta de eficiencia energética,260,47,0.24,0.11,2780000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.28,0.43,0.53,0.66,0.43,0.53,0.53,1.00,0.66,0.82,0.66,0.43"
frigoríficos eficiencia energética a,260,23,0.29,1.00,698000,Commercial,"Reviews, Image, People also ask, Image pack","0.82,0.66,0.66,0.66,0.35,0.66,0.53,0.82,0.66,0.23,0.82,1.00"
lavadoras eficiencia energetica a,260,17,0.45,1.00,156000,Commercial,"Reviews, Site links, Image, People also ask","0.53,0.66,0.66,1.00,0.66,1.00,0.66,0.66,0.53,0.28,0.23,0.35"
lavavajillas eficiencia energetica,260,19,0.20,1.00,198000,Informational,"Reviews, Image, People also ask, Image pack","0.66,0.66,0.66,1.00,0.66,0.82,0.66,1.00,0.66,0.66,0.53,0.66"
casas eficiencia energetica,210,24,0.39,0.41,237000,Informational,"People also ask, Image pack, Video carousel","0.43,0.53,0.65,0.81,0.53,0.53,0.53,1.00,0.65,0.53,0.53,0.53"
certificacion eficiencia energetica,210,56,0.74,0.56,12000000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.43,0.53,0.53,0.53,0.43,0.53,0.53,0.65,1.00,0.81,0.81,0.65"
certificado eficiencia energetica precio,210,25,0.51,0.63,313000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.65,1.00,0.80,0.80,0.53,0.80,1.00,1.00,1.00,1.00,1.00,0.65"
certificados de eficiencia energética,210,57,0.71,0.54,3070000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.19,0.23,0.23,0.23,0.15,0.19,0.19,0.23,0.23,0.66,1.00,0.66"
certificat eficiencia energetica,210,40,0.64,0.24,11100,"Informational, Commercial","Reviews, Site links, FAQ, Video, People also ask, Image pack","0.53,0.80,0.80,1.00,0.80,0.80,1.00,1.00,1.00,1.00,1.00,0.80"
clase de eficiencia energética g,210,25,0.25,0.03,3630000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","1.00,0.17,0.03,1.00,0.01,0.01,0.02,0.05,0.03,0.03,0.05,0.05"
clase eficiencia energetica,210,36,0.25,0.24,495000,Informational,"Reviews, FAQ, People also ask, Image pack","0.80,1.00,0.80,1.00,0.53,1.00,0.53,0.80,0.65,0.53,0.65,0.65"
clases de eficiencia energetica,210,29,0.17,0.23,138000,Informational,"Reviews, FAQ, People also ask, Image pack","0.53,0.82,0.66,1.00,0.53,0.82,0.53,0.66,0.66,0.43,0.43,0.82"
congelador vertical eficiencia energetica a,210,17,0.22,1.00,58300,Commercial,"Reviews, Site links, FAQ, Video, Image, Image pack","0.88,0.39,0.05,1.00,0.17,0.05,0.05,0.05,0.03,0.02,0.02,0.14"
eficiencia energetica g,210,23,0.34,0.09,745000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.65,0.81,0.81,1.00,0.81,0.81,0.65,0.81,0.53,0.53,0.53,0.53"
eficiencia energetica neveras,210,40,0.30,1.00,42000,Informational,"Reviews, FAQ, Video, Image, People also ask, Image pack","0.80,0.80,0.80,0.65,0.42,0.65,0.53,0.65,0.53,0.65,1.00,1.00"
eficiencia energetica vivienda,210,40,0.55,0.24,8430000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.43,0.65,0.65,0.81,0.81,0.81,0.65,0.81,0.53,0.65,0.53,0.53"
eficiencia energética electrodomésticos,210,34,0.11,0.59,8450000,Informational,"Reviews, FAQ, Video, Image, People also ask, Image pack","0.81,0.81,0.65,0.81,0.43,0.65,0.43,0.65,0.53,0.34,0.43,0.43"
frigorificos eficiencia energetica a+++,210,22,0.25,1.00,10500,Commercial,"Reviews, Image, People also ask","1.00,0.80,0.80,1.00,1.00"
mejorar eficiencia energetica,210,23,0.69,0.26,14100000,"Informational, Commercial","Site links, People also ask, Image pack","0.00,0.00,0.66,1.00,0.44,1.00,0.18,0.23,0.23,0.18,0.11,0.11"
que es eficiencia energetica,210,44,0.27,0.26,6570000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.34,0.53,0.53,0.65,0.53,0.65,0.81,0.81,0.81,1.00,0.65,0.43"
registrar certificado de eficiencia energetica,210,42,0.58,0.03,3010000,Informational,"Reviews, Site links, FAQ, Image pack, Video carousel","0.43,0.65,0.81,1.00,0.65,0.65,0.81,0.81,0.65,0.53,0.53,0.43"
subvencion eficiencia energetica 2021,210,44,0.00,0.01,1010000,Informational,"Featured snippet, People also ask, Image pack","0.03,0.03,1.00,0.55,0.16,0.24,0.05,0.01,0.01,0.01,0.01,0.00"
subvenciones eficiencia energetica,210,44,0.71,0.24,186000,Commercial,Image pack,"0.43,0.43,0.81,0.65,0.53,0.81,0.81,1.00,0.81,0.81,0.81,0.65"
subvenciones eficiencia energética castilla y león 2022,210,18,0.74,0.46,84100,Informational,Image pack,"0.00,0.00,0.00,0.06,0.28,0.81,1.00,0.81,0.54,0.44,0.44,0.54"
ayudas eficiencia energética 2021 catalunya,170,9,0.58,0.40,224000,Commercial,,"0.04,0.54,1.00,0.81,0.09,0.04,0.04,0.04,0.02,0.02,0.02,0.02"
ayudas eficiencia energética 2022 galicia,170,20,0.35,0.23,383000,Informational,Image pack,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.44,0.19,0.36,0.19,0.09"
casas eficientes energéticamente,170,20,0.34,0.66,107000,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.01,0.01,0.05,0.01,1.00,0.36,0.05,0.02,0.01,0.02,0.01,0.10"
certificacion de eficiencia energetica,170,56,0.71,0.54,8510000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.53,0.65,0.65,0.65,0.42,0.53,0.53,0.65,1.00,1.00,1.00,0.80"
certificación de eficiencia energética,170,56,0.71,0.54,13300000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02,0.02,0.16"
certificado de eficiencia energética de la vivienda,170,42,0.63,0.54,1850000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.15,0.28,0.43,0.28,0.28,0.34,0.65,0.65,1.00,1.00,1.00,0.81"
certificado de eficiencia energética madrid,170,24,1.25,0.74,1410000,"Informational, Transactional","Reviews, People also ask, Video carousel","0.53,0.34,0.53,0.65,0.53,0.65,0.65,1.00,1.00,1.00,0.80,0.42"
certificado eficiencia energetica andalucia,170,14,0.69,0.38,21800,"Informational, Commercial","Reviews, Site links, Video, People also ask","0.09,0.09,0.09,0.44,0.36,0.09,1.00,0.09,0.09,0.09,0.19,0.06"
certificado eficiencia energetica vivienda,170,38,0.73,0.60,127000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.66,0.66,0.66,0.66,0.66,0.66,1.00,1.00,0.80,0.80,0.66"
certificat eficiencia energetica gencat,170,30,0.59,0.08,801,"Navigational, Transactional",Reviews,"0.52,1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.80,1.00,1.00,1.00"
eficiencia energetica d,170,42,0.29,0.21,2040000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Image pack","0.65,0.80,0.80,1.00,0.65,0.80,0.65,0.80,0.53,0.65,0.80,0.65"
eficiencia energetica edificios,170,41,0.49,0.24,512000,Informational,"Featured snippet, Reviews, Site links, People also ask, Image pack, Video carousel","0.53,0.65,0.65,0.65,0.42,0.53,0.65,0.80,0.42,0.53,0.53,0.42"
eficiencia energetica lavavajillas,170,18,0.20,1.00,150000,Commercial,"Reviews, Image, People also ask, Image pack","0.66,0.66,0.66,1.00,0.66,0.80,0.66,1.00,0.66,0.80,0.66,0.80"
eficiencia energética electrodomésticos 2021,170,33,0.50,0.63,2250000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.65,0.81,0.81,1.00,0.53,0.53,0.43,0.28,0.15,0.15,0.15,0.15"
electrodomesticos eficiencia energetica,170,34,0.11,0.59,102000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.80,0.80,0.65,0.80,0.42,0.65,0.42,0.65,0.19,0.65,0.65,0.65"
etiqueta de eficiencia energetica,170,47,0.24,0.11,179000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.34,0.42,0.53,0.65,0.42,0.53,0.53,1.00,0.53,1.00,0.53,0.26"
hornos eficiencia energetica a+++,170,14,0.17,1.00,15600,Commercial,"Reviews, Site links, Image, People also ask, Image pack","1.00,1.00,1.00,0.33,0.42"
la eficiencia energética,170,48,0.41,0.18,27300000,Informational,"Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.55,1.00,0.76"
microondas eficiencia energetica,170,10,0.12,1.00,2480000,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack","1.00,0.22,0.22,0.22,0.22,0.22,0.54,0.22,0.22,0.10,0.10,0.18"
que es el certificado de eficiencia energetica,170,46,0.18,0.41,445000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.66,1.00,1.00,1.00,0.66,1.00,1.00,1.00,0.80,0.80,0.80,0.66"
subvencions generalitat eficiencia energetica 2021,170,23,0.00,0.23,86,Commercial,"Site links, Image pack","0.07,0.03,1.00,0.32,0.32,0.09,0.03,0.03,0.02,0.02,0.02,0.02"
ayuda eficiencia energetica,140,49,0.79,0.24,490000,Commercial,"People also ask, Video carousel","0.33,0.42,0.66,0.66,0.66,0.80,0.80,1.00,0.52,0.66,0.80,0.66"
ayudas eficiencia energetica castilla y leon,140,23,0.62,0.17,10100,Informational,Image pack,"0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.02,0.06,0.09"
ayudas eficiencia energética,140,45,0.79,0.24,2830000,"Informational, Commercial","People also ask, Video carousel","0.33,0.42,0.66,0.66,0.66,0.80,0.80,1.00,0.52,0.66,0.80,0.66"
ayudas eficiencia energética 2021 extremadura,140,17,0.00,0.00,74000,Informational,"Site links, Video","0.01,0.10,0.03,1.00,0.08,0.01,0.01,0.01,0.01,0.01,0.00,0.00"
certificado de eficiencia energetica extremadura,140,11,0.43,0.16,19200,Transactional,"Reviews, FAQ, People also ask, Image pack","0.43,0.22,0.10,0.10,0.54,0.10,1.00,0.10,0.14,0.14,0.10,0.06"
certificado de eficiencia energetica vivienda,140,37,0.63,0.54,1800000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.15,0.21,0.34,0.21,0.21,0.28,0.53,0.53,1.00,0.81,0.81,0.65"
certificado eficiencia energetica euskadi,140,14,0.78,0.08,90,"Informational, Transactional","Reviews, People also ask, Image pack","0.23,0.64,1.00,1.00,0.82,0.82,1.00,0.82,0.64,0.82,0.64,0.52"
clasificacion eficiencia energetica electrodomesticos,140,34,0.14,0.78,1380000,Informational,"Reviews, Site links, Video, People also ask, Image pack","1.00,0.23,0.03,0.15,0.03,0.18,0.06,0.03,0.03,0.03,0.03,0.03"
desgravacion eficiencia energetica,140,27,0.57,0.04,1330,Informational,"Site links, People also ask, Image pack","0.04,1.00,0.52,1.00,0.09"
eficiencia energetica certificado,140,54,0.74,0.56,6230000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.42,0.53,0.53,0.53,0.42,0.53,0.53,0.65,0.65,0.26,1.00,0.53"
eficiencia energetica g tv,140,31,0.00,0.74,2770000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.03,0.06,0.03,1.00,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01"
eficiencia energetica placas induccion,140,26,0.17,0.98,420000,Informational,"Featured snippet, Reviews, Site links, Video, Image, People also ask, Image pack","0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.18,0.08,0.18,0.18"
eficiencia energetica y energía solar térmica,140,19,0.57,0.08,2650000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.28,1.00,0.28,0.21,0.12,0.21,0.15,0.28,0.28,0.65,0.81,0.65"
eficiencia energética d,140,30,0.29,0.21,13800000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.66,0.66,0.80,0.52,0.66,0.52,0.66,0.52,0.52,0.80,1.00"
eficiencias energeticas,140,51,0.41,0.18,6420,Informational,"Reviews, Site links, Video, Image, People also ask, Knowledge panel","0.17,0.23,0.23,0.28,0.17,0.23,0.23,0.28,1.00,0.17,0.53,0.10"
empresa eficiencia energetica,140,46,0.91,0.28,1130000,Commercial,"Local pack, Reviews, People also ask, Video carousel","0.52,0.64,0.64,0.82,0.52,0.82,0.82,0.82,0.82,0.82,1.00,0.82"
frigorificos eficiencia energetica,140,22,0.29,1.00,34000,Commercial,"Reviews, Site links, Image, People also ask, Image pack","0.80,0.53,0.53,0.53,0.34,0.53,0.42,0.53,0.34,0.42,0.65,0.65"
idae eficiencia energética,140,38,0.94,0.06,179000,"Navigational, Transactional","Video, People also ask","0.06,0.44,0.28,0.28,0.01,0.06,1.00,0.23,0.03,0.18,0.03,0.03"
la eficiencia energetica,140,47,0.41,0.18,4320000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.66,0.80,0.80,1.00,0.66,0.80,0.80,1.00,0.42,0.33,0.23,0.19"
lavadora eficiencia energetica,140,16,0.32,1.00,237000,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack","0.34,0.43,0.34,0.43,0.34,0.43,0.34,0.34,0.28,1.00,0.28,0.21"
master eficiencia energetica,140,20,3.84,0.74,320000,Informational,"Reviews, Site links, People also ask, Video carousel, Adwords top","0.52,0.52,0.52,0.66,0.52,1.00,0.52,0.52,0.42,0.52,0.52,0.52"
neveras eficiencia energetica,140,24,0.30,1.00,39600,"Informational, Commercial","Reviews, Image, People also ask, Image pack","0.80,0.80,0.80,0.65,0.42,0.65,0.53,0.65,0.19,0.15,0.26,0.26"
nueva eficiencia energetica,140,34,0.13,0.37,4600000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.66,0.66,0.66,1.00,0.52,0.66,0.52,0.52,0.42,0.52,0.33,0.52"
prestamo eficiencia energetica,140,16,1.57,0.68,15500,Informational,"People also ask, Image pack","0.10,0.10,0.35,1.00,0.10,0.54,0.10,0.10,0.08,0.08,0.29,0.29"
registro de certificados de eficiencia energética canarias,140,11,0.00,0.01,99400,"Informational, Transactional","Reviews, FAQ, Video, Image pack","1.00,0.01,0.01,0.01,0.01,0.05,0.05,0.01,0.01,0.01,0.01,0.01"
subvencion eficiencia energetica andalucia,140,34,0.48,0.27,733000,Commercial,"Site links, Image pack","0.01,0.01,0.05,0.01,0.06,0.01,1.00,0.01,0.01,0.01,0.01,0.01"
subvenciones eficiencia energética castilla y león 2021,140,14,0.75,0.35,77000,Informational,"Reviews, Image pack","0.43,0.35,0.82,0.82,0.43,0.17,0.10,0.12,0.07,0.05,0.05,0.05"
televisor eficiencia energética a,140,15,0.15,1.00,1010000,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack","0.21,0.43,0.53,1.00,0.43,0.53,0.34,0.43,0.34,0.34,0.43,0.09"
televisores eficiencia energética a,140,15,0.15,1.00,759000,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack","0.21,0.43,0.53,1.00,0.43,0.53,0.34,0.43,0.34,0.34,0.43,0.34"
certificado de eficiencia energetica canarias,110,15,0.32,0.14,24600,"Informational, Transactional","Reviews, FAQ, People also ask, Image pack","1.00,0.28,0.18,0.11,0.11,0.11,0.11,0.11,0.03,0.05,0.08,0.03"
certificado de eficiencia energetica cataluña,110,18,0.65,0.43,633000,Transactional,"Reviews, People also ask, Image pack","0.12,0.12,0.12,0.12,0.65,1.00,1.00,0.12,0.06,0.06,0.09,0.06"
certificado de eficiencia energética es obligatorio,110,29,0.39,0.38,605000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Image pack","0.08,0.08,0.08,0.18,0.08,0.66,1.00,0.08,0.14,0.22,0.14,0.04"
certificado eficiencia energetica extremadura,110,9,0.73,0.10,168000,"Informational, Transactional","Reviews, People also ask, Image pack","0.03,0.03,0.14,0.02,0.02,0.03,0.03,1.00,0.02,0.03,0.00,0.00"
certificado eficiencia energetica murcia,110,9,0.76,0.50,40900,"Informational, Transactional","Reviews, FAQ, People also ask, Image pack, Knowledge panel","0.12,1.00,0.12,0.12,0.12,0.12,0.66,0.12,0.35,0.12,0.07,0.07"
certificado eficiencia energetica navarra,110,28,0.68,0.31,27600,"Informational, Transactional","Reviews, FAQ, People also ask, Image pack","0.17,0.17,0.17,1.00,0.28,0.17,0.82,0.17,0.10,0.05,0.07,0.05"
clase de eficiencia energetica a,110,27,0.17,0.23,7250000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack","0.52,0.82,0.64,1.00,0.52,0.82,0.52,0.64,0.52,0.64,0.52,0.00"
cuanto cuesta un certificado de eficiencia energetica,110,23,0.37,0.49,354000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Image pack","0.41,0.52,0.64,1.00,0.41,0.64,0.64,0.64,0.82,0.82,0.64,0.64"
curso eficiencia energetica,110,19,1.21,0.72,352000,Informational,"Reviews, Site links, Video carousel","0.64,1.00,1.00,1.00,0.78,1.00,1.00,1.00,0.78,0.78,0.78,0.78"
deduccion eficiencia energetica,110,25,0.38,0.01,4160,Informational,"Reviews, Site links, Image pack","0.00,0.00,0.10,0.05,0.00,0.05,0.07,0.35,0.82,1.00,0.82,0.12"
deduccion por eficiencia energetica,110,25,0.00,0.02,4490,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.11,1.00,0.52,0.82,0.11"
eficiencia energetica a,110,52,0.28,0.23,5970000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.78,0.78,0.78,1.00,0.78,0.78,0.64,0.78,0.64,0.78,1.00,0.78"
eficiencia energetica a+,110,39,0.17,0.41,178000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Image pack","0.33,0.42,0.33,0.52,0.23,0.42,0.33,1.00,1.00,1.00,1.00,1.00"
eficiencia energetica etiqueta,110,41,0.30,0.07,5540000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.52,0.52,0.64,0.82,0.52,0.52,0.52,1.00,0.05,0.64,0.64,0.41"
eficiencia energetica frigorifico,110,28,0.20,1.00,106000,"Informational, Commercial","Reviews, Image, People also ask, Image pack","1.00,1.00,0.78,1.00,0.50,0.64,0.50,0.78,0.64,0.64,1.00,1.00"
eficiencia energetica televisores,110,20,0.15,1.00,128000,Informational,"Featured snippet, Reviews, Site links, Video, Image, People also ask, Image pack","0.42,0.53,0.42,1.00,0.42,0.42,0.34,0.34,0.26,0.26,0.26,0.26"
escala eficiencia energetica,110,36,0.42,0.10,310000,Informational,"Reviews, FAQ, People also ask, Image pack","0.78,0.78,0.78,1.00,0.64,0.78,0.64,0.78,0.50,0.64,0.78,0.78"
etiquetas eficiencia energetica,110,42,0.30,0.07,6660000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.41,0.52,0.64,0.82,0.41,0.52,0.52,1.00,0.52,0.64,0.64,0.41"
etiquetas eficiencia energética,110,42,0.30,0.07,2810000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.12,0.17,0.23,0.28,0.12,0.17,0.17,0.28,0.17,0.12,1.00,0.05"
frigorificos eficiencia energetica a,110,22,0.29,1.00,34500,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack","0.66,0.52,0.52,0.52,0.33,0.52,0.42,0.66,0.52,0.52,0.66,1.00"
master en eficiencia energetica y energias renovables,110,29,5.71,0.81,634000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.03,1.00,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.00"
normativa eficiencia energetica,110,24,0.37,0.05,293000,Informational,"Site links, People also ask, Image pack","0.01,0.01,0.01,1.00,0.01,0.01,0.05,0.15,0.02,0.12,0.15,0.04"
registro de certificado de eficiencia energetica,110,40,0.58,0.03,173000,Commercial,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.33,0.42,0.52,0.66,0.42,0.42,0.52,0.52,1.00,0.66,0.33,0.23"
