Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
ayudas eficiencia energética 2022,880,32,0.48,0.31,2680000,Informational,"Featured snippet, Video carousel","0.00,0.00,0.04,0.20,0.30,1.00,0.66,0.66,0.36,0.36,0.41,0.41"
conduccion eficiente,880,26,0.20,0.02,511000,Informational,"Reviews, FAQ, Video, People also ask, Image pack, Video carousel","0.45,0.62,0.62,0.62,0.45,0.45,0.45,1.00,0.55,0.55,0.45,0.55"
dif entre eficiencia y eficacia,880,39,0.07,0.01,28400000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.36,0.81,1.00,1.00,0.62,0.81,0.62,0.81,0.00,0.00,0.00,1.00"
diferencia eficiente eficaz,880,40,0.07,0.01,48700000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, Video carousel","0.36,0.81,1.00,1.00,0.62,0.81,0.62,0.81,0.00,0.00,0.00,1.00"
eficiencia efectividad eficacia,880,32,0.16,0.01,40900000,Informational,"Featured snippet, Site links, People also ask, Video carousel","0.31,0.68,0.68,1.00,0.68,0.68,0.46,0.46,0.00,0.01,0.00,0.01"
eficiencia eficacia y efectividad,880,32,0.16,0.01,14300000,Informational,"Featured snippet, Video, People also ask","0.31,0.52,0.68,1.00,0.52,0.52,0.37,0.37,0.46,0.13,0.31,0.20"
eficiente significado,880,49,0.00,0.00,132000000,Informational,"Site links, FAQ, Video, People also ask, Image pack","0.55,0.76,1.00,0.76,0.55,0.55,0.55,0.76,0.55,1.00,0.76,0.55"
la diferencia entre eficaz y eficiente,880,38,0.07,0.01,47800000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.36,0.81,1.00,1.00,0.62,0.81,0.62,0.81,0.00,0.00,0.00,1.00"
efectiva eficiente y eficaz,720,33,0.16,0.01,28500000,Informational,"Featured snippet, Site links, Video","0.31,0.52,0.68,1.00,0.52,0.52,0.37,0.37,0.00,0.00,0.00,0.00"
eficacia eficiencia,720,38,0.12,0.01,39300000,Informational,"Reviews, Site links, Video, People also ask, Video carousel, Knowledge panel","0.20,0.45,0.55,0.55,0.45,0.55,0.45,0.55,0.55,1.00,0.36,0.76"
eficacio y eficiencia,720,42,0.12,0.01,57400000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.08,0.20,0.24,0.24,0.20,0.24,0.20,0.24,1.00,0.00,0.00,0.00"
eficiencia significado,720,50,0.00,0.00,76400000,Informational,"FAQ, Video, People also ask, Knowledge panel","0.59,0.88,1.00,0.88,0.59,0.59,0.59,0.88,0.59,0.88,0.59,0.48"
las técnicas de conducción eficiente,720,20,0.00,0.00,6350000,Informational,"Featured snippet, Video, People also ask, Image pack, Video carousel","0.81,1.00,0.67,0.81,0.54,0.67,0.81,1.00,0.54,0.54,0.67,0.67"
sinonimo de eficiente,720,25,0.00,0.00,173000,Informational,"Site links, People also ask","0.21,0.72,0.88,0.88,0.72,0.72,0.72,0.88,0.88,1.00,0.59,0.26"
definición eficiencia,590,48,0.00,0.00,43700000,"Informational, Commercial","Site links, FAQ, Video, People also ask","0.45,1.00,0.76,0.67,0.55,0.45,0.45,0.45,0.16,0.00,0.00,0.00"
diferencia eficacia y eficiencia,590,39,0.07,0.01,34500000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.21,0.59,0.72,0.72,0.48,0.59,0.48,0.59,1.00,0.72,0.59,0.26"
diferencia eficiencia eficacia,590,39,0.07,0.01,21000000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.07,0.16,0.20,0.20,0.13,0.16,0.13,0.16,0.00,1.00,0.41,0.13"
eficiencia definicion,590,48,0.00,0.00,51300000,Informational,"Site links, FAQ, Video, People also ask","0.48,1.00,0.88,0.72,0.59,0.48,0.48,0.48,0.32,0.39,0.21,0.14"
eficiencia energetica frigorificos,590,35,0.20,1.00,40800,"Informational, Commercial","Reviews, FAQ, Image, People also ask, Image pack","1.00,1.00,0.81,1.00,0.54,0.66,0.54,0.81,0.54,0.66,0.66,1.00"
eficiente y eficaz,590,38,0.12,0.01,81700000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.20,0.36,0.36,0.45,0.24,0.24,0.30,0.55,0.45,0.67,1.00,0.36"
es eficiencia,590,47,0.00,0.00,191000000,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.23,0.67,1.00,1.00,0.67,0.67,0.54,0.67,0.54,0.67,0.54,0.19"
ley de eficiencia digital,590,24,0.00,0.00,15900000,Informational,"Video, Image pack","0.00,0.01,1.00,0.18,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.02"
que eficiente,590,43,0.00,0.00,287000000,Informational,"Reviews, FAQ, Video","0.23,0.67,1.00,1.00,0.67,0.67,0.54,0.67,0.54,0.67,0.54,0.23"
que es la eficiencia energetica,590,47,0.27,0.26,5730000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.36,0.54,0.54,0.67,0.54,0.67,0.81,1.00,0.67,0.81,0.67,0.36"
certificado de eficiencia energética precio,480,25,0.54,0.59,4900000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.66,1.00,0.81,1.00,0.66,1.00,0.81,1.00,1.00,1.00,0.81,0.81"
certificados de eficiencia energetica,480,58,0.71,0.54,209000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.66,0.81,0.81,0.81,0.54,0.66,0.66,0.81,0.66,0.66,1.00,0.54"
conducción eficiente,480,26,0.20,0.02,10800000,Informational,"Reviews, FAQ, Video, People also ask, Image pack, Video carousel","0.54,0.67,0.67,0.67,0.44,0.54,0.54,1.00,0.36,0.36,0.36,0.67"
eficacia eficiencia y efectividad,480,29,0.16,0.01,14200000,Informational,"Featured snippet, People also ask, Video carousel","0.29,0.54,0.67,1.00,0.54,0.54,0.44,0.44,0.36,0.81,0.54,0.19"
eficacia versus eficiencia,480,41,0.09,0.01,1860000,Informational,"Featured snippet, Site links, People also ask, Video carousel","0.36,0.81,1.00,1.00,0.66,0.66,0.66,0.81,0.54,0.81,0.44,0.44"
eficacia y eficiencia diferencia,480,39,0.07,0.01,40200000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.29,0.67,0.81,0.81,0.54,0.67,0.54,0.67,0.67,1.00,0.54,0.29"
eficiencia economía,480,35,0.00,0.00,38900000,Informational,"Site links, Video, People also ask, Knowledge panel","0.05,0.36,0.67,1.00,0.55,0.45,0.36,0.30,0.20,0.30,0.30,0.05"
eficiencia en la economia,480,34,0.00,0.00,16400000,Informational,"Reviews, Site links, Video, People also ask, Video carousel, Knowledge panel","0.05,0.36,0.67,1.00,0.55,0.45,0.36,0.30,0.20,0.30,0.24,0.05"
eficiencia energetica f,480,32,0.32,0.20,850000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.66,0.66,0.66,1.00,0.54,0.81,0.54,0.81,0.54,0.66,0.66,1.00"
eficiencia energética f,480,28,0.32,0.20,9020000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.81,0.81,0.81,1.00,0.66,0.81,0.66,0.81,0.81,0.81,0.81,1.00"
eficiencia vs eficacia,480,40,0.09,0.01,9660000,Informational,"Featured snippet, Reviews, People also ask, Video carousel","0.36,0.81,1.00,1.00,0.66,0.66,0.66,0.81,0.54,0.44,0.44,0.36"
eficiencia y eficacia diferencia,480,38,0.07,0.01,39400000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.35,0.81,1.00,1.00,0.66,0.81,0.66,0.81,0.66,1.00,0.81,0.44"
eficiente economia,480,41,0.00,0.00,207000000,Informational,"Reviews, Site links, People also ask, Video carousel, Knowledge panel","0.05,0.36,0.67,1.00,0.55,0.45,0.36,0.30,0.20,0.30,0.30,0.05"
es eficiente,480,35,0.00,0.00,192000000,Informational,Video,"0.23,0.66,1.00,1.00,0.66,0.66,0.54,0.66,0.54,0.66,0.54,0.23"
etiqueta eficiencia energetica,480,49,0.30,0.07,192000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.44,0.54,0.67,0.81,0.44,0.54,0.54,1.00,0.44,0.54,0.44,0.36"
qe es eficiencia,480,47,0.00,0.00,205000000,Informational,"Reviews, Site links, FAQ, Video, People also ask","0.23,0.67,1.00,1.00,0.67,0.67,0.54,0.67,0.54,0.00,0.54,0.23"
ayudas eficiencia energética 2021,390,42,0.00,0.00,1660000,Informational,"Featured snippet, Image pack","0.30,0.45,0.67,0.67,0.36,0.24,0.10,0.10,0.06,0.02,0.01,0.01"
certificados eficiencia energetica,390,58,0.74,0.56,224000,"Informational, Commercial","Featured snippet, Local pack, Reviews, Site links, FAQ, People also ask, Video carousel","0.54,0.66,0.66,0.66,0.54,0.66,0.66,0.81,0.54,1.00,0.66,0.54"
economía eficiente,390,39,0.00,0.00,111000000,Informational,"Reviews, Site links, Video, People also ask, Knowledge panel","0.05,0.36,0.67,1.00,0.55,0.45,0.36,0.30,0.00,0.00,0.00,0.00"
efectividad y eficiencia,390,31,0.00,0.00,22700000,Informational,"Featured snippet, Site links, People also ask, Video carousel","0.01,1.00,1.00,0.16,0.01,0.11,0.03,0.01,0.01,0.05,0.01,0.01"
eficaz eficiente,390,36,0.12,0.01,60600000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.23,0.54,0.66,0.66,0.54,0.66,0.54,0.66,0.66,0.54,0.54,1.00"
eficiencia bioclimatica,390,20,0.00,0.03,61300,"Informational, Transactional","Reviews, Site links, Image pack, Video carousel, Knowledge panel","0.07,0.01,0.07,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
eficiencia eficacia,390,36,0.12,0.01,42300000,Informational,"Reviews, Site links, People also ask, Video carousel, Knowledge panel","0.23,0.54,0.66,0.66,0.54,0.66,0.54,0.66,1.00,1.00,0.54,0.44"
eficiencia energetica lavadoras,390,29,0.32,1.00,146000,Informational,"Reviews, Image, People also ask, Image pack","0.81,1.00,0.81,1.00,0.66,1.00,0.66,0.81,0.66,0.54,0.54,0.54"
eficiencia energética b,390,37,0.30,0.14,11600000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.01,0.01,1.00,0.79,0.01,0.03,0.03,0.01,0.00,0.01,0.01,0.01"
eficiencia o eficacia,390,44,0.12,0.01,33900000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.12,0.05,1.00,0.54,0.36"
eficiencia operativa,390,21,0.00,0.05,13200000,Informational,"Featured snippet, Video","0.01,0.01,0.01,1.00,0.01,0.01,0.34,0.03,0.02,0.03,0.03,0.01"
eficientar,390,31,0.00,0.00,955000,Informational,"Featured snippet, Video, Image, People also ask, Image pack","0.22,0.66,0.81,0.81,0.54,0.66,0.81,1.00,0.66,0.81,0.81,0.43"
certificado de eficiencia energetica precio,320,25,0.54,0.59,8320000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.66,1.00,0.82,1.00,0.66,1.00,0.82,1.00,1.00,0.82,1.00,0.82"
certificado eficiencia energetica madrid,320,25,1.49,0.68,90700,"Informational, Transactional","Reviews, People also ask, Video carousel","0.43,0.66,0.66,0.81,0.54,0.54,0.81,0.81,0.81,0.81,1.00,0.54"
clase de eficiencia energética,320,29,0.17,0.23,8000000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.54,0.81,0.66,1.00,0.54,0.81,0.54,0.66,0.43,0.66,0.66,0.54"
diferencias entre eficacia y eficiencia,320,38,0.07,0.01,34800000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.35,0.81,1.00,1.00,0.66,0.81,0.66,0.81,0.54,0.66,0.54,0.43"
donde se tramita el certificado de eficiencia energética,320,29,0.59,0.50,62300,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","1.00,0.31,0.04,0.04,0.04,0.52,0.04,0.04,0.04,0.02,0.01,0.01"
eficacia efectividad y eficiencia,320,22,0.16,0.01,35500000,Informational,"Featured snippet, Video, People also ask, Video carousel","0.28,0.54,0.66,1.00,0.54,0.54,0.44,0.44,0.44,0.81,0.28,0.18"
eficacia o eficiencia,320,40,0.12,0.01,46900000,Informational,"Featured snippet, Reviews, Video, People also ask","0.35,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.53,0.28,0.82,0.35"
eficacia y eficiente diferencia,320,38,0.07,0.01,35000000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","1.00,0.00,0.00,0.00,0.00"
eficaz eficiente efectiva,320,29,0.16,0.01,19600000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","1.00,0.00,0.00,0.00,0.00"
eficaz o eficiente,320,37,0.12,0.01,74600000,Informational,"Featured snippet, Reviews, Video, People also ask, Video carousel","0.35,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.66,0.35,1.00,0.35"
eficiencia economica que es,320,25,0.00,0.00,96600000,Informational,"Reviews, Site links, Video, People also ask, Knowledge panel","0.13,0.10,0.24,1.00,0.76,0.36,0.13,0.01,0.01,0.01,0.01,0.01"
eficiencia eficacia y efectivo,320,28,0.16,0.01,12600000,Informational,"Featured snippet, Site links, Video, People also ask, Video carousel","1.00,0.00,0.00,0.00,0.00"
eficiencia energetica e,320,41,0.31,0.22,3990000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.82,0.82,0.82,1.00,0.66,0.82,0.66,1.00,0.82,0.82,0.82,0.82"
eficiencia ingles,320,25,0.00,0.00,6460000,Informational,"Reviews, Video","0.66,0.82,1.00,0.82,0.66,0.82,0.82,0.82,0.66,0.66,0.53,0.53"
eficiencia tecnica,320,19,0.00,0.00,35600000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Knowledge panel","0.03,0.13,0.45,1.00,0.36,0.36,0.30,0.20,0.13,0.20,0.16,0.03"
energia y eficiencia,320,36,0.41,0.18,102000000,Informational,"Featured snippet, Local pack, Reviews, Site links, People also ask, Video carousel, Knowledge panel","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.16,0.24,0.79"
horno eficiencia energetica a+++,320,15,0.17,1.00,97600,Commercial,"Reviews, Site links, Image, People also ask","1.00,0.00,0.01,0.00,0.01"
que es la eficiencia,320,46,0.00,0.00,169000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.22,0.66,1.00,1.00,0.66,0.66,0.54,0.66,0.54,0.66,0.54,0.18"
radiadores electricos eficientes,320,24,0.24,1.00,27000,Commercial,"Reviews, Site links, FAQ, Image, People also ask, Video carousel","0.11,0.26,0.48,1.00,0.48,0.48,0.26,0.26,0.17,0.11,0.11,0.21"
sinonimo eficiente,320,37,0.00,0.00,153000,Informational,"Site links, People also ask","0.22,0.54,0.66,0.81,0.54,0.66,0.54,0.81,0.81,1.00,0.54,0.81"
ayudas eficiencia energetica,260,47,0.79,0.24,229000,"Informational, Commercial","People also ask, Image pack, Video carousel","0.34,0.43,0.65,0.65,0.65,0.81,0.81,1.00,0.65,0.81,1.00,0.81"
clase de eficiencia energetica,260,29,0.17,0.23,425000,Informational,"Reviews, FAQ, People also ask, Image pack","0.53,0.82,0.66,1.00,0.53,0.82,0.53,0.66,0.53,0.43,0.43,0.66"
diferencia eficaz y eficiente,260,38,0.07,0.01,57200000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.34,0.81,1.00,1.00,0.65,0.81,0.65,0.81,0.65,1.00,0.65,0.53"
diferencia entre eficaz y eficiente,260,37,0.00,0.00,84300000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask","0.35,1.00,0.53,0.82,0.35,0.35,0.05,1.00,0.82,1.00,0.82,0.66"
eficacia eficiencia efectividad,260,28,0.16,0.01,12200000,Informational,"Featured snippet, People also ask, Video carousel","0.35,0.54,0.66,1.00,0.54,0.54,0.43,0.43,0.35,0.66,0.35,0.22"
eficacia vs eficiencia,260,40,0.09,0.01,8520000,Informational,"Featured snippet, Reviews, Video, People also ask, Video carousel","0.35,0.82,1.00,1.00,0.66,0.66,0.66,0.82,0.53,0.82,0.43,0.35"
eficaz y eficiente diferencia,260,38,0.07,0.01,83700000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Video carousel","0.34,0.81,1.00,1.00,0.65,0.81,0.65,0.81,1.00,1.00,0.81,0.53"
eficiencia economica,260,22,0.00,0.00,13300000,Informational,"Reviews, Site links, Video, People also ask, Video carousel, Knowledge panel","0.05,0.36,0.66,1.00,0.54,0.44,0.36,0.29,0.19,0.23,0.44,0.09"
eficiencia energetica b,260,40,0.30,0.14,925000,Informational,"Reviews, FAQ, People also ask, Image pack","0.02,0.02,0.45,1.00,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01"
eficiencia energetica en edificios,260,35,0.49,0.24,549000,"Informational, Commercial","Reviews, Site links, People also ask, Image pack, Video carousel","0.53,0.66,0.66,0.66,0.43,0.53,0.66,0.82,0.53,0.66,0.66,0.53"
eficiencia energetica en electrodomesticos,260,39,0.11,0.59,6530000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.82,0.82,0.66,0.82,0.43,0.66,0.43,0.66,0.53,0.43,0.35,0.53"
eficiencia energética e,260,41,0.31,0.22,25400000,Informational,"Featured snippet, Local pack, Reviews, Site links, FAQ, People also ask, Image pack","0.81,0.81,0.81,1.00,0.65,0.81,0.65,1.00,0.81,0.81,0.81,0.65"
eficiencia minecraft,260,18,0.00,0.00,230000,Informational,"Reviews, Video, People also ask, Image pack, Video carousel","0.81,0.66,0.35,0.35,0.54,0.44,0.23,0.18,0.23,0.23,0.28,1.00"
eficiencia paneles solares,260,21,0.83,0.96,4110000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.66,0.66,0.66,0.82,0.66,0.66,0.66,1.00,0.82,0.82,0.66,0.66"
eficiencia sinonimo,260,32,0.00,0.00,127000,Informational,"People also ask, Image pack","0.22,0.54,0.66,0.81,0.54,0.66,0.54,0.81,0.66,1.00,0.54,0.35"
eficiencias,260,51,0.22,0.00,2580000,Informational,"Reviews, Site links, Video, People also ask","0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.00,0.30,0.76,0.30"
eficiente en ingles,260,22,0.00,0.00,98,Informational,"Reviews, Video, People also ask","0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.66"
energa eficiencia,260,25,0.41,0.18,63300000,Commercial,"Local pack, Reviews, FAQ","0.00,0.01,0.01,1.00,0.04"
etiqueta de eficiencia energética,260,47,0.24,0.11,2780000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.28,0.43,0.53,0.66,0.43,0.53,0.53,1.00,0.66,0.82,0.66,0.43"
frigoríficos eficiencia energética a,260,23,0.29,1.00,698000,Commercial,"Reviews, Image, People also ask, Image pack","0.82,0.66,0.66,0.66,0.35,0.66,0.53,0.82,0.66,0.23,0.82,1.00"
las técnicas de conducción eficiente reducen,260,17,0.00,0.00,462000,Informational,"Featured snippet, Site links, People also ask, Image pack","0.65,1.00,1.00,0.81,0.53,0.81,0.81,1.00,0.65,0.65,1.00,1.00"
las técnicas de conducción eficiente...,260,19,0.00,0.00,6520000,Informational,"Featured snippet, Reviews, People also ask, Image pack, Video carousel","0.66,0.82,0.66,0.66,0.53,0.66,0.66,0.82,0.66,0.53,0.66,1.00"
lavadoras eficiencia energetica a,260,17,0.45,1.00,156000,Commercial,"Reviews, Site links, Image, People also ask","0.53,0.66,0.66,1.00,0.66,1.00,0.66,0.66,0.53,0.28,0.23,0.35"
lavavajillas eficiencia energetica,260,19,0.20,1.00,198000,Informational,"Reviews, Image, People also ask, Image pack","0.66,0.66,0.66,1.00,0.66,0.82,0.66,1.00,0.66,0.66,0.53,0.66"
ley eficiencia procesal,260,31,0.00,0.00,2210000,Informational,"Video, Image pack","0.18,0.43,0.29,0.81,0.18,0.54,0.66,0.43,1.00,0.66,0.66,0.54"
que es eficiencia,260,46,0.00,0.00,168000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.23,0.66,1.00,1.00,0.66,0.66,0.53,0.66,0.43,0.53,1.00,0.17"
que significa eficiente,260,48,0.00,0.00,200000000,Informational,"Reviews, FAQ, Video, People also ask","0.53,0.81,1.00,0.81,0.53,0.65,0.65,0.81,0.65,1.00,0.81,0.65"
radiadores electricos mas eficientes,260,23,0.24,1.00,16200,Commercial,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.10,0.29,0.44,1.00,0.54,0.54,0.29,0.29,0.19,0.10,0.12,0.23"
calefaccion eficiente,210,21,0.82,1.00,377000,Informational,"Reviews, People also ask, Video carousel","0.18,0.23,0.44,1.00,0.44,0.54,0.23,0.35,0.18,0.15,0.11,0.18"
casas eficiencia energetica,210,24,0.39,0.41,237000,Informational,"People also ask, Image pack, Video carousel","0.43,0.53,0.65,0.81,0.53,0.53,0.53,1.00,0.65,0.53,0.53,0.53"
certificacion eficiencia energetica,210,56,0.74,0.56,12000000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.43,0.53,0.53,0.53,0.43,0.53,0.53,0.65,1.00,0.81,0.81,0.65"
certificado eficiencia energetica precio,210,25,0.51,0.63,313000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.65,1.00,0.80,0.80,0.53,0.80,1.00,1.00,1.00,1.00,1.00,0.65"
certificados de eficiencia energética,210,57,0.71,0.54,3070000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.19,0.23,0.23,0.23,0.15,0.19,0.19,0.23,0.23,0.66,1.00,0.66"
certificat eficiencia energetica,210,40,0.64,0.24,11100,"Informational, Commercial","Reviews, Site links, FAQ, Video, People also ask, Image pack","0.53,0.80,0.80,1.00,0.80,0.80,1.00,1.00,1.00,1.00,1.00,0.80"
clase de eficiencia energética g,210,25,0.25,0.03,3630000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","1.00,0.17,0.03,1.00,0.01,0.01,0.02,0.05,0.03,0.03,0.05,0.05"
clase eficiencia energetica,210,36,0.25,0.24,495000,Informational,"Reviews, FAQ, People also ask, Image pack","0.80,1.00,0.80,1.00,0.53,1.00,0.53,0.80,0.65,0.53,0.65,0.65"
clases de eficiencia energetica,210,29,0.17,0.23,138000,Informational,"Reviews, FAQ, People also ask, Image pack","0.53,0.82,0.66,1.00,0.53,0.82,0.53,0.66,0.66,0.43,0.43,0.82"
congelador vertical eficiencia energetica a,210,17,0.22,1.00,58300,Commercial,"Reviews, Site links, FAQ, Video, Image, Image pack","0.88,0.39,0.05,1.00,0.17,0.05,0.05,0.05,0.03,0.02,0.02,0.14"
diferencia eficiencia y eficacia,210,37,0.07,0.01,18700000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.04,0.11,0.13,0.13,0.08,0.11,0.08,0.11,0.13,0.13,0.11,1.00"
diferencias entre eficiencia y eficacia,210,39,0.07,0.01,45200000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.18,0.43,0.54,0.54,0.35,0.43,0.35,0.43,0.35,1.00,0.43,0.04"
