Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
que es aerotermia,1600,48,0.17,0.65,4010000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.41,0.54,0.66,1.00,0.66,0.79,0.66,0.79,0.79,0.36,0.36,0.54"
calefacción por aerotermia,1300,38,0.32,1.00,3300000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.31,0.37,0.68,1.00,0.68,0.84,0.52,0.84,0.68,0.37,0.37,0.52"
instalacion aerotermia,1300,28,0.84,1.00,175000,"Informational, Transactional","Reviews, Site links, People also ask, Image pack, Video carousel, Adwords bottom","0.30,0.54,0.79,1.00,0.79,0.79,0.66,0.79,0.41,0.54,0.41,0.66"
precio aerotermia piso 100m2,1300,20,0.42,0.99,82,Informational,"Featured snippet, Reviews, Site links, Video, Image, People also ask, Image pack","0.20,0.31,0.52,0.84,0.52,0.84,0.68,1.00,0.68,0.52,0.52,0.84"
precios aerotermia,1300,29,0.44,1.00,516000,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.46,0.52,0.84,1.00,0.68,1.00,0.84,1.00,0.52,0.37,0.46,1.00"
suelo radiante aerotermia,1300,15,0.41,1.00,1680000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.45,0.55,0.62,0.81,0.81,1.00,0.62,0.81,0.81,1.00,0.62,1.00"
aerotermia caldera,1000,26,0.40,1.00,552000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.24,0.30,0.41,0.66,0.41,0.54,0.41,1.00,0.54,0.36,0.41,0.54"
aerotermia instalacion,1000,30,0.84,1.00,168000,"Informational, Transactional","Reviews, Site links, People also ask, Image pack, Video carousel","0.36,0.55,0.81,1.00,0.81,0.81,0.62,0.81,0.62,0.55,0.45,0.81"
calefaccion por aerotermia,1000,42,0.32,1.00,240000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.31,0.37,0.68,1.00,0.68,0.84,0.52,0.84,0.68,0.37,0.37,0.52"
daikin aerotermia,1000,24,0.45,1.00,69,"Navigational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.25,0.31,0.84,1.00,0.46,0.52,0.46,0.52,0.37,0.37,0.46,0.46"
fan coil aerotermia,1000,22,0.39,1.00,30700,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.55,0.55,0.62,0.81,0.55,0.62,0.55,0.81,0.62,0.81,0.24,1.00"
instalacion aerotermia vivienda unifamiliar,1000,19,0.68,1.00,18700,"Informational, Transactional","Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.45,0.55,0.76,1.00,0.76,1.00,0.76,1.00,0.76,0.67,0.67,0.76"
aerotermia con suelo radiante,880,13,0.41,1.00,1270000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.45,0.55,0.67,0.76,0.76,1.00,0.67,0.76,0.55,0.45,0.67,0.55"
aerotermia panasonic,880,16,0.51,1.00,56,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.36,0.36,0.62,1.00,0.45,0.55,0.62,0.62,0.36,0.36,0.36,0.36"
caldera aerotermia,880,34,0.40,1.00,633000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.20,0.25,0.37,0.52,0.37,0.52,0.37,1.00,0.68,0.37,0.46,0.68"
diferencia entre aerotermia y bomba de calor,880,21,0.36,0.35,490000,Informational,"Reviews, FAQ, People also ask, Image pack, Video carousel","0.03,0.02,0.03,1.00,0.02,0.20,0.81,0.02,0.01,0.01,0.01,0.01"
precio aerotermia vivienda unifamiliar,880,20,0.53,1.00,113000,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.13,0.20,0.55,1.00,0.55,0.81,0.62,1.00,0.81,0.45,0.20,0.16"
aerotermia barata,720,28,0.72,1.00,65000,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack","1.00,0.02,0.30,0.24,1.00,0.30,0.04,0.02,0.02,0.02,0.03,0.05"
aerotermia con placas solares,720,21,0.98,1.00,467000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.48,0.59,0.88,1.00,0.72,0.72,0.72,1.00,0.72,0.59,0.72,1.00"
aerotermia en pisos,720,14,0.34,1.00,215000,Informational,"Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.24,0.36,0.55,1.00,0.55,0.76,0.55,1.00,0.55,0.55,0.55,0.76"
aerotermia en un piso,720,16,0.34,1.00,645000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.20,0.30,0.55,0.76,0.55,0.67,0.55,1.00,0.55,0.67,0.55,1.00"
aerotermia mitsubishi,720,17,0.48,1.00,77,Informational,"Reviews, Video, Image, People also ask, Image pack, Video carousel","0.30,0.36,0.55,1.00,0.55,0.55,0.55,0.67,0.45,0.45,0.45,0.45"
aerotermia precio 120 m2,720,21,0.42,0.99,76,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.16,0.20,0.25,0.37,0.37,0.46,0.37,1.00,0.52,0.52,0.68,0.84"
aerotermia saunier duval,720,27,0.53,1.00,63,"Informational, Transactional","Reviews, Image, People also ask, Image pack, Video carousel","0.44,0.67,0.81,1.00,0.67,0.81,0.67,1.00,0.81,0.67,0.81,1.00"
aerotermia vaillant,720,29,0.49,1.00,71,"Navigational, Transactional","Local pack, Reviews, Video, Image, People also ask, Image pack, Video carousel","0.45,0.55,0.76,1.00,0.67,0.67,0.67,0.76,0.55,0.45,0.36,0.55"
como funciona aerotermia,720,43,0.18,0.61,149000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.24,0.36,0.67,1.00,0.55,0.76,0.67,1.00,0.67,0.36,0.45,1.00"
fancoil aerotermia,720,16,0.39,1.00,97,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.36,0.36,0.45,0.55,0.36,0.45,0.36,0.55,0.45,0.45,1.00,0.62"
mitsubishi electric aerotermia,720,14,0.52,0.83,71,"Informational, Transactional","Reviews, Video, Image, Image pack, Video carousel","0.01,0.02,0.24,1.00,0.35,0.01,0.01,0.01,0.00,0.00,0.00,0.00"
suelo radiante con aerotermia,720,14,0.41,1.00,1230000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.45,0.55,0.67,0.76,0.76,1.00,0.67,0.76,0.24,0.20,0.20,0.24"
aerotermia acs,590,24,0.26,1.00,493000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.44,0.54,0.54,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.67,0.67"
aerotermia alta temperatura,590,16,0.32,1.00,198000,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.11,0.16,0.25,0.37,0.25,0.31,0.25,1.00,0.37,0.31,0.31,0.46"
aerotermia bomba de calor,590,35,0.30,1.00,479000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.16,0.24,0.30,0.55,0.36,0.45,0.36,0.45,0.20,0.20,1.00,0.24"
aerotermia calefaccion,590,38,0.31,1.00,236000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.32,0.39,0.72,1.00,0.72,0.72,0.59,0.72,0.39,0.26,0.26,0.39"
aerotermia productos y precios,590,27,0.38,0.60,1360000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.01,0.01,0.52,1.00,0.16,0.08,0.10,0.01,0.00,0.00,0.00,0.00"
calefacción aerotermia,590,38,0.31,1.00,3560000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.39,0.48,0.88,1.00,0.88,0.88,0.72,0.88,0.48,0.32,0.32,0.39"
cuanto cuesta poner suelo radiante con aerotermia,590,24,0.49,0.74,58000,"Informational, Transactional","Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.02,0.02,0.02,0.36,0.02,0.02,1.00,0.02,0.02,0.01,0.03,0.03"
geotermia o aerotermia,590,20,0.30,0.54,174000,Commercial,"Reviews, People also ask, Image pack, Video carousel","0.44,0.54,0.81,1.00,0.67,0.67,0.67,1.00,0.54,0.44,0.54,0.81"
problemas aerotermia,590,14,0.67,0.48,157000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.48,0.48,0.59,0.88,0.48,0.72,0.48,1.00,0.59,0.59,0.59,0.72"
acs por aerotermia,480,27,0.28,0.98,430000,Informational,"Featured snippet, FAQ, People also ask, Image pack, Video carousel","0.11,0.08,0.04,0.02,1.00,0.34,0.02,0.02,0.01,0.01,0.00,0.01"
aerotermia con radiadores de alta temperatura,480,15,0.45,0.93,85100,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask","0.00,0.04,0.01,1.00,0.13,0.03,0.03,0.01,0.01,0.00,0.00,0.00"
aerotermia funcionamiento,480,25,0.16,0.54,1020000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.44,0.44,0.81,1.00,0.81,1.00,0.81,1.00,0.66,0.66,0.66,0.81"
aerotermia para radiadores,480,21,0.34,1.00,1190000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.36,0.44,0.66,1.00,0.66,0.66,0.66,1.00,0.81,0.54,0.54,0.81"
aerotermia y fotovoltaica opiniones,480,22,1.04,0.87,554000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.08,0.01,0.03,1.00,0.13,0.01,0.01,0.01,0.01,0.01,0.00,0.00"
ariston aerotermia,480,22,0.29,1.00,81,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.08,0.08,0.20,0.24,0.30,1.00,0.55,0.36,0.30,0.24,0.20,0.20"
baxi roca aerotermia,480,22,0.29,0.92,78,"Informational, Transactional","Reviews, Image, People also ask, Image pack, Video carousel","0.02,0.04,0.54,1.00,0.54,0.02,0.02,0.02,0.01,0.00,0.00,0.00"
caldera aerotermia precio,480,28,0.43,1.00,553000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.29,0.36,0.67,1.00,0.54,0.67,0.54,1.00,0.29,0.29,0.36,0.54"
esquema instalacion aerotermia con fancoils,480,19,0.36,0.95,9810,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.44,0.54,0.66,1.00,0.81,1.00,0.81,1.00,0.66,0.66,0.66,0.66"
instalacion de aerotermia en un piso,480,15,0.52,1.00,53800,Informational,"Reviews, People also ask, Image pack, Video carousel","0.01,0.03,0.01,1.00,0.04,0.10,0.01,0.01,0.01,0.00,0.00,0.00"
maquina aerotermia,480,43,0.34,1.00,66800,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.54,0.66,0.81,1.00,0.81,1.00,0.81,1.00,0.66,0.54,0.66,0.81"
qué es la aerotermia,480,46,0.17,0.65,1610000,Informational,"Reviews, Site links, People also ask, Video carousel, Knowledge panel","0.44,0.54,0.67,1.00,0.67,0.81,0.67,0.81,0.54,0.44,0.44,0.54"
radiadores aerotermia,480,22,0.39,1.00,1010000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.15,0.23,0.44,0.67,0.44,0.54,0.54,0.81,0.81,0.54,0.81,1.00"
radiadores para aerotermia,480,21,0.34,1.00,1470000,"Informational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.36,0.54,0.66,1.00,0.66,0.66,0.66,1.00,0.66,0.44,0.36,0.54"
temperatura suelo radiante aerotermia,480,21,0.30,0.15,160000,Informational,"Featured snippet, Reviews, Site links, Image, People also ask, Image pack","0.01,0.05,1.00,0.65,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.00"
vaillant aerotermia,480,28,0.65,0.95,83,"Navigational, Transactional","Local pack, Reviews, Video, Image, People also ask, Image pack, Video carousel","0.44,0.66,1.00,1.00,0.81,0.66,0.81,0.81,0.66,0.66,0.66,0.66"
aerotermia aire acondicionado,390,18,0.32,1.00,2430000,Commercial,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.39,0.26,0.32,0.48,0.26,0.39,0.32,0.39,0.32,0.39,0.59,1.00"
aerotermia ariston,390,22,0.22,1.00,76,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.17,0.21,0.32,0.48,0.59,1.00,0.59,0.59,0.32,0.32,0.26,0.32"
aerotermia baxi,390,23,0.38,1.00,75,"Informational, Transactional","Reviews, Image, People also ask, Image pack, Video carousel","0.29,0.44,0.66,1.00,0.66,0.66,0.54,0.66,0.44,0.36,0.44,0.44"
aerotermia con radiadores precio,390,28,0.41,1.00,358000,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.19,0.29,0.66,0.81,0.54,0.66,0.54,1.00,0.54,0.54,0.66,0.81"
aerotermia piso,390,17,0.34,1.00,441000,Informational,"Reviews, Image, People also ask, Video carousel","0.14,0.21,0.32,0.59,0.32,0.48,0.32,0.59,0.32,0.72,0.72,1.00"
aerotermia radiadores,390,22,0.00,0.00,1390000,"Informational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.20,0.13,0.36,0.45,0.30,0.45,0.45,0.45,0.24,0.24,0.24,1.00"
aerotermia sant cugat,390,11,1.69,0.39,80,Commercial,"Local pack, Reviews, People also ask, Image pack","1.00,0.03,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01"
aerotermia sistema,390,42,0.35,1.00,1900000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.44,0.66,0.66,0.81,0.81,1.00,0.81,1.00,1.00,0.00,0.54,0.81"
aerotermia y suelo radiante,390,17,0.41,1.00,1250000,Informational,"Local pack, Reviews, Site links, People also ask, Image pack, Video carousel","0.44,0.54,0.66,0.81,0.81,1.00,0.66,0.81,0.66,0.54,0.44,0.66"
aire acondicionado aerotermia precio,390,25,0.42,1.00,1670000,Transactional,"Reviews, Site links, FAQ, Image, People also ask, Image pack","0.07,0.01,0.05,0.01,0.01,1.00,0.01,0.01,0.00,0.01,0.03,0.04"
calculo aerotermia baxi,390,20,0.00,0.57,81,"Navigational, Transactional","Reviews, Video, Image, Image pack","0.03,0.03,1.00,0.45,1.00,0.20,0.03,0.03,0.01,0.01,0.01,0.01"
caldera de aerotermia,390,30,0.41,1.00,510000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.17,0.26,0.39,0.59,0.39,0.48,0.39,1.00,0.32,0.26,0.32,0.48"
calderas aerotermia,390,31,0.40,1.00,1240000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.23,0.29,0.44,0.67,0.44,0.54,0.44,1.00,0.54,0.29,0.36,0.54"
curso aerotermia,390,15,0.79,0.75,150000,Informational,"Reviews, Site links, Video, Image, Image pack, Video carousel, Adwords bottom","0.03,0.03,0.07,1.00,0.25,0.20,0.52,0.03,0.02,0.05,0.04,0.04"
esquema instalacion aerotermia,390,11,0.00,1.00,33400,Informational,"Reviews, Image, Image pack, Video carousel","0.44,0.54,0.81,1.00,0.66,1.00,0.66,0.81,0.44,0.36,0.36,0.36"
factura luz aerotermia,390,18,0.55,0.24,62000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.44,0.44,0.66,1.00,0.66,0.81,0.66,0.81,0.29,0.15,0.29,0.36"
fancoils aerotermia,390,16,0.39,1.00,120000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.44,0.44,0.44,0.67,0.44,0.44,0.44,0.67,0.36,0.44,0.54,1.00"
foro problemas aerotermia,390,14,0.86,0.29,34,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.09,0.12,0.36,0.66,0.66,0.81,0.81,1.00,0.81,0.54,0.54,0.66"
instalacion aerotermia precio,390,19,0.60,0.95,160000,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.81,0.81,1.00,0.66,0.66,0.54,0.81,0.54,0.44,0.44,0.66"
mentiras de la aerotermia,390,10,0.00,0.22,72,Informational,"Reviews, Site links, Video, Image pack","0.01,0.02,0.36,0.36,0.16,1.00,0.01,0.01,0.02,0.01,0.02,0.03"
precio aerotermia con radiadores de baja temperatura,390,16,0.36,0.94,79900,Transactional,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.00,0.00,0.03,1.00,1.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00"
saunier duval aerotermia,390,25,0.75,1.00,63,"Informational, Transactional","Reviews, Image, People also ask, Image pack, Video carousel","0.36,0.44,0.66,1.00,0.66,0.66,0.66,0.81,0.54,0.54,0.54,0.54"
termo aerotermia,390,18,0.23,1.00,262000,"Informational, Transactional","Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.44,0.66,0.66,0.81,0.81,0.81,0.81,1.00,0.81,0.54,0.54,0.66"
aerotermia daitsu,320,17,0.33,0.50,70,"Informational, Transactional","Local pack, Reviews, Image, Image pack, Video carousel","0.24,0.05,0.67,0.55,0.05,1.00,0.20,0.05,0.03,0.02,0.02,0.01"
aerotermia leroy merlin,320,27,0.50,1.00,43,"Informational, Transactional","Reviews, Image, People also ask, Image pack, Video carousel","0.29,0.43,0.54,0.81,0.66,0.66,0.66,0.81,0.81,0.66,0.81,1.00"
aerotermia madrid,320,24,2.51,0.73,439000,Commercial,"Local pack, Reviews, Site links, FAQ, Video, Image","0.23,0.44,0.54,1.00,0.36,0.29,0.29,0.44,0.29,0.36,0.44,0.54"
aerotermia piso 70m2 precio,320,22,0.47,0.99,78,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.05,0.11,0.28,0.66,0.54,0.66,0.54,1.00,0.66,0.66,0.44,0.66"
aerotermia precio 2021,320,23,0.35,1.00,175000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.15,0.36,0.67,1.00,0.67,0.67,0.36,0.29,0.10,0.02,0.04,0.02"
aerotermia sabadell,320,10,1.19,0.68,100,Commercial,"Local pack, Reviews, Adwords bottom","0.16,1.00,0.68,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02"
baxi aerotermia,320,21,0.51,0.91,83,"Informational, Transactional","Reviews, Video, Image, Image pack, Video carousel","0.28,0.54,0.81,1.00,0.66,0.54,0.54,0.54,0.81,0.35,0.35,0.35"
bombas de calor aerotermia,320,32,0.30,1.00,277000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Video carousel","0.05,0.08,0.10,0.20,0.13,0.16,0.13,0.16,0.08,0.10,1.00,0.10"
calefaccion aerotermia precio,320,25,0.37,1.00,1380000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.29,0.36,0.66,1.00,0.54,0.66,0.44,0.81,0.36,0.23,0.23,0.29"
calefacción aerotermia precio,320,27,0.37,1.00,2560000,Transactional,"Reviews, Site links, Video, Image, People also ask","0.28,0.35,0.66,1.00,0.54,0.66,0.44,0.81,0.44,0.23,0.44,0.28"
cambiar caldera de gas natural por aerotermia,320,20,0.73,0.73,45200,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Adwords top","0.03,0.10,0.76,1.00,0.67,0.03,0.03,0.05,0.01,0.01,0.01,0.01"
consumo aerotermia,320,20,0.34,0.60,1030000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, Image pack, Video carousel","0.44,0.44,0.54,1.00,0.66,0.66,0.54,0.81,0.44,0.35,0.44,0.66"
coste aerotermia vivienda unifamiliar,320,13,0.66,1.00,20500,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.20,0.11,0.25,0.07,0.16,1.00,0.20,0.03,0.02,0.02,0.03,0.07"
daikin aerotermia precio,320,18,0.35,1.00,64,Transactional,"Reviews, Video, Image, People also ask, Image pack","0.28,0.35,0.81,1.00,0.66,0.66,0.44,0.66,0.54,0.44,0.44,0.66"
funcionamiento aerotermia,320,24,0.16,0.54,1060000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.43,0.43,0.66,1.00,0.81,1.00,0.81,1.00,0.54,0.54,0.54,0.66"
funcionamiento de la aerotermia,320,32,0.17,0.65,536000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.02,0.04,0.02,1.00,0.02,0.02,0.16,0.02,0.01,0.01,0.01,0.01"
instalacion de aerotermia,320,27,0.59,1.00,164000,Informational,"Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.43,0.54,0.81,1.00,0.66,0.81,0.66,0.81,0.66,0.54,0.54,0.66"
instalación aerotermia,320,27,0.84,1.00,2030000,Informational,"Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.28,0.54,0.81,1.00,0.81,0.81,0.66,0.81,0.54,0.35,0.35,0.66"
instalar aerotermia,320,27,0.84,1.00,284000,"Informational, Transactional","Reviews, Site links, People also ask, Image pack, Video carousel","0.19,0.36,0.54,0.54,0.54,0.54,0.36,0.54,1.00,0.29,0.29,0.54"
precio caldera aerotermia,320,27,0.43,1.00,580000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.35,0.44,0.81,1.00,0.66,0.81,0.66,1.00,0.44,0.23,0.28,0.54"
que es la aerotermia y como funciona,320,41,0.19,0.61,154000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.26,0.39,1.00,0.72,0.26,0.26,0.21,0.26,0.14,0.09,0.07,0.17"
sistema aerotermia,320,41,0.35,1.00,1030000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.35,0.44,0.44,0.54,0.54,0.66,0.54,0.66,1.00,0.66,0.54,0.66"
sistema aerotermia precio,320,25,0.46,1.00,865000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.03,0.03,0.03,1.00,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02"
sistema de aerotermia,320,41,0.34,0.99,1020000,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack, Video carousel","0.43,0.43,0.54,0.66,0.54,0.66,0.54,0.66,1.00,0.54,0.54,0.66"
subvenciones aerotermia,320,25,0.57,0.77,59300,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.15,0.28,0.35,0.44,0.66,0.66,0.66,1.00,0.54,0.54,0.44,0.66"
acs aerotermia,260,23,0.29,1.00,523000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.35,0.43,0.54,0.66,0.66,0.81,0.66,1.00,0.66,0.66,0.66,0.66"
aerotermia agua caliente sanitaria,260,23,0.26,1.00,371000,Informational,"Reviews, FAQ, Image, People also ask, Video carousel","0.43,0.53,0.53,0.82,0.82,0.82,0.82,1.00,0.66,0.82,0.82,1.00"
aerotermia agua sanitaria,260,22,0.25,1.00,705000,Informational,"Reviews, FAQ, Video, Image, People also ask, Image pack, Video carousel","0.43,0.43,0.53,0.66,0.53,0.82,0.66,1.00,0.82,0.53,0.43,0.66"
aerotermia con radiadores convencionales,260,20,0.38,0.99,27800,"Informational, Transactional","Reviews, Site links, People also ask, Image pack, Video carousel","0.43,0.22,0.35,0.66,0.54,0.66,0.54,1.00,0.81,0.66,0.66,0.81"
aerotermia con radiadores opiniones,260,12,0.33,0.83,1880000,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.14,0.35,0.54,1.00,0.66,1.00,0.81,1.00,0.43,0.35,0.43,0.81"
aerotermia daikin opiniones,260,14,0.37,0.55,80,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack","0.32,0.09,0.59,1.00,0.09,0.09,0.09,0.09,0.05,0.07,0.05,0.14"
aerotermia domusa,260,18,0.47,1.00,68,Informational,"Reviews, Video, Image, Image pack, Video carousel","0.16,0.05,1.00,0.67,0.16,0.24,0.05,0.05,0.05,0.03,0.03,0.05"
aerotermia lg opiniones,260,12,0.43,0.96,54,Informational,"Reviews, Site links, Video, Image, Image pack","0.01,0.02,0.01,1.00,0.07,0.01,0.01,0.02,0.02,0.01,0.01,0.02"
