Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
nuevo etiquetado energético,170,42,0.07,0.18,1800000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Video carousel","0.66,0.66,0.53,0.66,0.28,0.43,0.53,0.35,0.35,0.28,0.23,0.23"
etiqueta energetica 2021,140,27,0.36,0.04,6110000,Informational,"Reviews, FAQ, Video, Image, People also ask, Image pack","0.65,0.65,0.65,0.81,0.65,0.34,0.34,0.34,0.06,0.12,0.15,0.12"
etiqueta energetica madrid,140,19,0.84,0.10,78600,"Informational, Transactional","Reviews, People also ask, Image pack, Adwords bottom","0.33,0.52,0.66,0.66,0.52,0.66,0.52,0.66,0.42,0.66,1.00,0.52"
etiqueta energética 2021,140,27,0.36,0.04,3700000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.65,0.65,0.53,0.81,0.53,0.34,0.28,0.34,0.28,0.06,0.09,0.09"
etiquetas energeticas electrodomesticos,140,41,0.12,0.46,2270000,Informational,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.52,0.66,0.66,1.00,0.52,0.52,0.42,0.66,0.42,0.52,0.42,0.23"
nuevas etiquetas energeticas,140,34,0.04,0.18,66900,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.53,0.53,0.53,0.65,0.28,0.34,0.34,0.34,0.28,0.21,0.12,0.15"
descargar etiqueta energetica madrid,110,14,0.00,0.00,18900,Transactional,"Reviews, People also ask, Image pack","0.41,0.64,0.64,0.64,0.64,0.52,0.29,0.64,0.52,0.64,1.00,0.52"
eficiencia energetica etiqueta,110,41,0.30,0.07,5540000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.52,0.52,0.64,0.82,0.52,0.52,0.52,1.00,0.05,0.64,0.64,0.41"
etiqueta energetica coches,110,19,0.24,0.20,24700,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.64,0.64,0.78,0.64,0.64,0.78,0.78,1.00,0.78,1.00,0.64,0.64"
etiquetas eficiencia energetica,110,42,0.30,0.07,6660000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.41,0.52,0.64,0.82,0.41,0.52,0.52,1.00,0.52,0.64,0.64,0.41"
etiquetas eficiencia energética,110,42,0.30,0.07,2810000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.12,0.17,0.23,0.28,0.12,0.17,0.17,0.28,0.17,0.12,1.00,0.05"
nueva etiqueta energética 2021,110,32,0.16,0.04,2840000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.53,0.53,0.65,1.00,0.34,0.53,0.34,0.34,0.15,0.19,0.15,0.15"
