Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
sgg climalit plus,390,25,0.00,0.15,100,Informational,"Image, People also ask, Image pack, Video carousel","0.03,0.03,0.52,0.37,0.11,1.00,0.25,0.03,0.03,0.02,0.02,0.07"
ventanas climalit con persiana y mosquitera,390,17,0.26,1.00,58,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.01,0.01,0.01,0.01,0.01,1.00,0.01,0.01,0.01,0.00,0.01,0.00"
ventanas climalit leroy merlin,390,42,0.20,1.00,60,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.35,0.44,0.54,0.54,0.66,1.00,0.81,0.81,0.54,0.54,0.44,0.54"
ventanas climalit precios,390,22,0.34,1.00,82,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.54,0.66,0.66,0.81,0.66,1.00,0.66,0.66,0.54,0.54,0.44,0.44"
climalit plus,320,24,0.25,0.28,153000,Informational,"Image, People also ask, Video carousel","0.66,0.66,0.82,1.00,0.66,1.00,0.82,1.00,0.82,0.82,0.66,0.82"
manilla ventana climalit,320,16,0.23,0.98,72,Informational,"Reviews, Site links, Image, Image pack, Video carousel","0.05,0.13,0.76,1.00,0.24,0.05,0.05,0.05,0.03,0.03,0.03,0.03"
climalit 4/8/4 opiniones,260,15,0.00,0.20,50,Informational,"Site links, People also ask, Image pack","0.03,0.03,0.48,1.00,0.59,0.17,0.59,0.07,0.02,0.05,0.02,0.02"
condensacion en ventanas climalit,260,13,0.00,0.58,38300,Informational,"Site links, Video, Image, People also ask","0.01,0.01,0.01,0.37,1.00,0.16,0.02,0.01,0.01,0.01,0.01,0.01"
cristales climalit,260,24,0.23,0.73,215000,Navigational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.65,1.00"
cristales climalit precios,260,13,0.22,0.74,74,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack","0.66,0.66,0.82,1.00,0.66,0.82,0.66,0.53,0.53,0.43,0.35,0.43"
precio ventanas climalit leroy merlin,260,40,0.33,0.96,71,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.53,0.82,0.82,1.00,0.66,1.00,0.82,0.53,0.66,0.35,0.17,0.23"
ventana climalit precio,260,26,0.34,1.00,84,Transactional,"Featured snippet, Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.53,0.65,0.65,0.81,0.65,1.00,0.65,0.65,0.65,0.81,0.65,0.65"
ventanas de aluminio rotura puente térmico climalit,260,14,0.33,0.96,123000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.01,0.01"
cristal climalit 4 16 4 precio,210,11,0.22,0.55,88,Transactional,"Reviews, Video, Image, People also ask, Image pack","0.42,0.53,0.65,0.80,0.65,0.80,0.80,1.00,1.00,0.80,0.80,0.80"
cristal climalit 4-16-4,210,17,0.41,0.48,6790,Commercial,"Reviews, Video, Image, People also ask, Image pack","0.02,0.10,1.00,0.30,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02"
cristal climalit 4-16-4 precio,210,11,0.22,0.55,95,Transactional,"Video, Image, People also ask, Image pack","0.43,0.53,0.65,0.81,0.65,0.81,0.81,1.00,0.81,0.81,0.65,0.65"
cristales climalit 4-20-4,210,19,0.44,0.42,79,Informational,"Site links, Image, People also ask, Image pack","0.09,0.09,0.66,1.00,0.54,0.29,0.19,0.09,0.04,0.04,0.06,0.00"
doble acristalamiento climalit,210,13,0.00,0.46,331000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.01,0.05,1.00,0.30,0.01,0.01,0.05,0.01,0.01,0.02,0.01,0.03"
grosor cristales climalit recomendados,210,11,0.33,0.27,95,"Informational, Commercial","Site links, Video, Image, People also ask, Image pack","0.43,0.65,0.53,0.81,0.81,0.81,0.81,1.00,0.53,0.65,0.53,0.53"
precios ventanas climalit,210,24,0.34,1.00,82,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.53,0.65,0.65,0.81,0.65,1.00,0.65,0.65,0.65,0.65,0.53,0.53"
ventanas de climalit precio,210,20,0.36,0.98,81,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.43,0.53,0.65,0.81,0.53,1.00,0.65,0.65,0.65,0.65,0.53,0.43"
ventana corredera climalit,170,20,0.27,1.00,64,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.53,0.65,0.80,1.00,0.65,1.00,0.53,0.65,0.53,0.65,0.65,0.53"
ventanas climalit precios leroy merlin,170,39,0.34,0.99,67,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.26,0.42,0.42,0.80,0.53,0.53,0.42,0.80,1.00,0.80,0.65,0.53"
ventanas de climalit,170,24,0.26,1.00,2050000,"Informational, Transactional","Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.53,0.80,1.00,1.00,0.80,1.00,0.80,0.80,0.65,0.53,0.42,0.53"
burletes ventanas climalit,140,16,0.28,1.00,56,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.11,0.18,0.35,1.00,0.54,0.35,0.15,0.18,0.15,0.08,0.05,0.08"
climalit precios,140,14,0.26,0.92,84,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.64,0.82,0.64,0.82,0.52,0.82,0.64,0.64,0.82,0.82,0.41,0.64"
cristales climalit a medida,140,9,0.24,0.98,82,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Adwords bottom","0.09,0.21,1.00,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.02,0.03"
precio ventana climalit,140,24,0.34,1.00,91,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.52,0.66,0.66,0.80,0.66,1.00,0.66,0.66,0.52,0.52,0.42,0.42"
sgg climalit,140,21,0.36,0.26,94,Navigational,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.66,0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.52,0.52,0.66"
ventanas de madera climalit,140,28,0.31,1.00,1430000,"Informational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack","0.26,0.34,0.53,0.53,0.65,1.00,0.80,0.53,0.53,0.42,0.19,0.42"
vidrio climalit,140,20,0.36,0.33,696000,Navigational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.52,0.66,0.66,0.66,0.66,0.66,0.66,1.00,0.80,0.66,0.52,0.52"
adidas climalite,110,24,0.16,1.00,53,"Informational, Transactional","Reviews, Video, Image, Image pack","0.52,0.41,0.64,0.52,0.52,0.52,0.41,0.41,0.82,1.00,1.00,1.00"
climalit catalogo,110,18,0.27,0.59,93,Transactional,"Reviews, Video, Image pack","0.01,0.03,1.00,0.01,0.01,0.23,0.54,0.23,0.03,0.18,0.03,0.23"
coste ventanas climalit,110,22,0.42,0.95,100,Informational,"Reviews, Site links, FAQ, Image, People also ask","0.65,1.00,0.26,0.26,0.65,0.26,1.00,0.26,0.19,0.26,0.11,0.07"
cristal climalit 4 16 4,110,16,0.41,0.48,198000,Informational,"Reviews, Video, Image, People also ask, Image pack","0.02,0.12,1.00,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02"
cristales climalit leroy merlin,110,25,0.65,0.91,76,"Informational, Transactional","Reviews, Video, Image, People also ask, Image pack","0.29,0.82,0.82,1.00,0.82,0.82,0.52,0.52,0.64,0.52,0.41,0.23"
precio cristal climalit m2,110,14,0.18,0.47,75,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.66,0.52,0.52,0.66,0.52,0.66,0.52,0.52,0.33,0.42,0.33,0.23"
precio cristal ventana climalit,110,11,0.34,0.71,95,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack","0.05,0.02,1.00,0.35,0.82,0.66,0.02,0.12,0.12,0.07,0.10,0.07"
precios de ventanas climalit,110,20,0.36,0.98,93,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.41,0.52,0.64,0.82,0.52,1.00,0.64,0.64,0.52,0.52,0.41,0.29"
precios ventanas pvc climalit,110,21,0.47,0.99,92,Transactional,"Featured snippet, Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.64,0.64,0.82,0.82,0.64,1.00,0.64,0.64,0.52,0.41,0.23,0.29"
puertas climalit,110,12,0.26,1.00,96,"Informational, Transactional","Reviews, Site links, Video, Image, Image pack","0.64,0.78,1.00,1.00,0.78,1.00,0.78,0.78,0.64,0.64,0.78,0.78"
tarifa precios climalit,110,18,0.27,0.55,93,Transactional,"Reviews, Image, People also ask, Image pack","0.06,0.02,0.02,0.02,0.02,0.13,0.20,0.02,0.01,0.01,0.01,0.01"
triple acristalamiento climalit,110,15,0.00,0.53,34700,"Informational, Transactional","Reviews, Video, Image, People also ask, Image pack","1.00,0.12,0.12,0.53,0.23,0.12,1.00,0.12,0.10,0.07,0.07,0.10"
ventanas climalit catalogo,110,19,0.27,1.00,29700,Transactional,"Reviews, Site links, Image, People also ask, Image pack","0.52,0.66,0.80,1.00,0.66,0.80,0.52,0.42,0.42,0.23,0.14,0.19"
ventanas de madera con climalit,110,26,0.31,1.00,88,"Informational, Transactional","Reviews, Video, Image, People also ask, Image pack","0.33,0.42,0.52,0.52,0.66,1.00,1.00,0.52,0.52,0.42,0.23,0.33"
