Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
geotermia precio unifamiliar,170,13,0.46,0.77,34900,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.00,0.00,0.00,0.81,1.00,0.66,0.54,0.43,0.35,0.18,0.14,0.06"
geotermia vs aerotermia,170,18,0.33,0.23,8570,Commercial,"Reviews, People also ask, Image pack, Video carousel","0.53,0.53,0.80,0.80,0.53,0.53,0.65,1.00,0.80,0.34,0.42,0.53"
para que sirve la geotermia,170,29,0.08,0.26,53400,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.08,0.01,0.01,1.00,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01"
problemas geotermia,170,19,0.32,0.24,183000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.28,0.23,0.53,0.82,0.43,0.53,0.43,1.00,0.53,0.43,0.35,0.53"
calefaccion por geotermia,140,17,0.25,0.46,551000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.34,0.53,0.80,1.00,0.53,0.53,0.53,1.00,0.42,0.42,0.26,0.42"
calefacción por geotermia,140,20,0.25,0.46,273000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.33,0.66,0.80,1.00,0.66,0.66,0.52,1.00,0.52,0.33,0.42,0.42"
como funciona la geotermia,140,23,0.12,0.24,97400,Informational,"Featured snippet, Reviews, Site links, People also ask, Image pack, Video carousel","0.42,0.52,0.80,1.00,0.66,0.66,0.52,0.80,0.66,0.33,0.42,0.42"
geotermia casa,140,16,0.36,0.39,1550000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.04,0.12,0.19,1.00,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.03"
geotermia opiniones,140,16,0.30,0.30,79400,Informational,"Reviews, Site links, Video, People also ask","0.26,0.26,0.65,0.80,0.42,0.53,0.53,1.00,0.53,0.42,0.34,0.65"
geotermia radiadores,140,15,0.42,0.87,78300,Informational,"Local pack, Reviews, Site links, Video, People also ask, Image pack","0.07,0.07,0.02,0.02,0.39,1.00,0.04,0.02,0.02,0.02,0.02,0.02"
girod geotermia,140,26,0.34,0.10,88,Navigational,"Reviews, Site links, Video, People also ask, Image pack, Video carousel, Knowledge panel","0.03,0.03,1.00,0.10,0.03,0.36,0.03,0.03,0.15,0.02,0.02,0.15"
instalacion geotermia precio,140,12,0.50,0.63,56200,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.02,0.01,0.26,1.00,0.01,0.01,0.01,0.14,0.04,0.04,0.03,0.03"
aerotermia geotermia,110,20,0.30,0.54,154000,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.41,0.52,0.64,1.00,0.64,0.64,0.64,1.00,0.52,0.41,0.52,0.64"
caldera geotermia,110,20,0.32,0.63,103000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.23,0.33,0.52,0.66,0.52,0.66,0.66,1.00,0.42,0.52,0.33,0.52"
de dietrich geotermia,110,12,0.00,0.00,93,Informational,"Reviews, Video, Image, Image pack","0.02,0.02,1.00,0.29,0.29,0.02,0.02,0.02,0.02,0.02,0.00,0.02"
diferencia entre aerotermia y geotermia,110,19,0.27,0.19,146000,Informational,"Featured snippet, Reviews, People also ask, Video carousel","0.21,0.81,0.21,0.43,1.00,0.43,0.21,0.21,0.12,0.09,0.12,0.15"
energia renovable geotermia,110,33,0.23,0.02,282000,Informational,"Featured snippet, Reviews, People also ask, Video carousel, Knowledge panel","0.06,0.15,0.28,0.34,0.21,0.28,0.43,0.53,0.43,0.81,0.53,0.09"
geotermia canarias,110,31,0.36,0.19,67000,Informational,"Featured snippet, Reviews, Video, People also ask, Image pack","0.02,1.00,0.02,0.04,0.02,0.14,0.02,0.02,0.02,0.02,0.02,0.02"
geotermia en islandia,110,36,0.00,0.05,154000,Informational,"Featured snippet, Reviews, Video, People also ask, Image pack, Knowledge panel","0.15,0.36,1.00,0.02,0.02,0.01,0.01,0.19,0.02,0.02,0.02,0.02"
geotermia españa,110,22,0.52,0.33,271000,"Informational, Commercial","Reviews, People also ask, Image pack, Video carousel","0.23,0.52,0.80,0.66,0.42,0.52,0.42,1.00,0.52,0.42,0.33,0.33"
geotermia galicia,110,19,0.32,0.46,73300,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Adwords bottom","0.03,0.03,0.34,0.53,0.81,0.53,1.00,0.53,0.34,0.28,0.21,0.28"
geotermia instalacion,110,17,0.44,0.47,53800,Commercial,"Local pack, Reviews, Site links, People also ask, Image pack, Video carousel","0.50,0.64,1.00,1.00,0.64,0.78,0.64,1.00,0.64,0.64,0.64,0.64"
que es geotermia,110,25,0.10,0.31,1310000,Informational,"Reviews, Video, People also ask, Knowledge panel","0.41,0.52,1.00,1.00,0.52,0.64,0.64,1.00,1.00,0.82,0.52,0.82"
