Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
energía potencial fórmula,1900,41,0.00,0.00,9200000,Informational,"Featured snippet, Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.16,0.66,0.80,0.66,0.36,0.66,0.52,0.66,0.44,0.80,0.66,0.10"
energía xxi teléfono gratuito,1900,37,2.18,0.33,60,Informational,"Featured snippet, Local pack, Reviews, Site links, People also ask, Image pack","0.20,0.36,0.43,0.65,0.65,1.00,1.00,0.43,0.29,0.22,0.07,0.10"
fuentes de energía,1900,47,0.56,0.05,113000000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.07,0.18,0.24,0.35,0.24,0.35,0.44,0.66,0.44,0.81,0.44,0.10"
la energía que te premiá,1900,26,0.00,0.00,1890000,Navigational,"Reviews, Site links, Image pack","0.27,0.27,0.36,0.80,1.00,1.00,0.36,0.52,0.52,0.52,0.27,0.00"
la energía solar,1900,52,1.18,0.69,82200000,Commercial,"Local pack, Reviews, Site links, FAQ, Video, People also ask, Video carousel, Knowledge panel","0.24,0.36,0.52,0.66,0.44,0.52,0.52,0.80,0.66,1.00,0.80,0.52"
logos energía,1900,38,0.35,0.20,9570000,Navigational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Knowledge panel","0.34,0.34,0.44,0.55,0.55,0.65,0.65,1.00,0.82,0.82,0.65,0.55"
que es la energía,1900,49,0.38,0.01,644000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.05,0.19,0.19,0.28,0.19,0.36,0.36,0.43,0.66,0.43,0.43,0.05"
tipos de energía,1900,60,0.50,0.01,412000000,Informational,"Featured snippet, Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.10,0.24,0.24,0.29,0.24,0.29,0.29,0.53,0.53,0.53,0.66,0.04"
berkeley energía,1600,42,0.00,0.00,87,"Informational, Transactional","Reviews, Video, Image pack, Video carousel, Knowledge panel","0.29,0.54,0.54,0.36,0.43,0.29,0.36,0.54,0.10,0.08,0.08,0.10"
bon preu esclat energía,1600,27,0.51,0.10,79,"Navigational, Transactional","Local pack, Reviews, Site links, Image pack, Video carousel","0.34,0.44,1.00,1.00,0.65,0.65,0.55,0.55,0.24,0.30,0.30,0.00"
bono social energía xxi,1600,49,0.78,0.03,780000,"Informational, Transactional","Reviews, Site links, Video, People also ask","0.41,0.41,0.41,0.66,0.54,0.66,0.79,0.79,0.79,1.00,0.79,0.54"
energía geotermica,1600,35,0.16,0.05,157000,Informational,"Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.08,0.27,0.44,0.52,0.36,0.44,0.52,0.66,0.44,0.80,0.66,0.16"
energía mareomotriz,1600,35,0.33,0.01,272000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.07,0.16,0.29,0.44,0.29,0.35,0.44,0.44,0.35,0.53,0.35,0.05"
energía xxi opiniones,1600,23,0.46,0.18,86,Informational,"Local pack, Reviews, Site links, People also ask, Image pack","0.54,0.54,0.54,0.54,0.54,1.00,1.00,0.79,0.66,0.54,0.30,0.30"
energías,1600,70,0.79,0.04,81000000,Informational,"Featured snippet, FAQ, Top stories, People also ask, Video carousel, Knowledge panel","0.24,0.34,0.44,0.44,0.34,0.55,0.44,0.65,1.00,0.82,0.65,0.55"
la energía eléctrica,1600,49,0.76,0.07,106000000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.13,0.22,0.36,0.43,0.22,0.36,0.36,0.54,0.54,0.54,0.54,0.13"
acciona energía bolsa,1300,47,1.38,0.01,72,Informational,"Reviews, Video, Image pack, Instant answer, Knowledge panel","0.16,0.13,0.08,0.05,0.13,0.24,0.16,0.35,0.24,0.24,0.18,0.16"
aldro energía,1300,35,1.84,0.26,26400,"Informational, Transactional","Reviews, Site links, FAQ, People also ask, Image pack, Video carousel, Knowledge panel","0.41,0.54,0.54,0.66,0.54,0.79,0.66,1.00,0.36,0.30,0.20,0.20"
energía eléctrica,1300,55,0.76,0.07,102000000,Informational,"Featured snippet, Local pack, Reviews, Site links, People also ask, Video carousel, Twitter, Knowledge panel","0.13,0.24,0.34,0.44,0.24,0.34,0.34,0.55,0.55,1.00,1.00,0.34"
energía química,1300,44,0.26,0.00,63300000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.04,0.10,0.16,0.20,0.13,0.20,0.22,0.43,0.36,0.65,0.43,0.02"
energía xxi bono social,1300,33,1.00,0.11,804000,"Informational, Transactional","Reviews, Site links, People also ask","0.31,0.37,0.46,0.52,0.46,0.68,0.68,0.68,0.68,1.00,0.84,0.68"
energías renovables ejemplos,1300,57,0.26,0.18,5590000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.13,0.41,0.41,0.66,0.41,0.54,0.66,1.00,0.54,0.66,0.30,0.08"
es la energía,1300,47,0.38,0.01,631000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Video carousel, Knowledge panel","0.04,0.16,0.16,0.20,0.13,0.24,0.24,0.36,0.52,0.66,1.00,0.16"
fuente de energía,1300,40,0.56,0.05,184000000,"Informational, Transactional","Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.07,0.20,0.24,0.36,0.24,0.36,0.44,0.66,0.52,0.80,0.52,0.16"
fuentes de energía renovable,1300,59,0.37,0.13,7690000,Informational,"Featured snippet, Site links, FAQ, People also ask, Image pack, Video carousel","0.05,0.16,0.16,0.22,0.20,0.22,0.29,0.43,0.36,0.65,0.43,0.04"
fuentes de energía renovables,1300,59,0.37,0.13,11200000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.05,0.16,0.16,0.22,0.20,0.22,0.29,0.43,0.36,0.65,0.65,0.13"
hidrocantábrico energía,1300,35,0.70,0.26,24600,"Informational, Transactional","Local pack, Reviews, Site links, People also ask, Knowledge panel","0.84,0.84,0.84,1.00,0.84,0.84,0.84,1.00,0.02,0.02,0.03,0.02"
imagina energía,1300,28,1.06,0.28,5580000,Navigational,"Reviews, Site links, FAQ, Video, Video carousel, Twitter","0.01,0.03,0.04,1.00,0.52,0.44,0.44,0.52,0.52,0.66,0.52,0.52"
la energía,1300,58,0.65,0.02,740000000,"Informational, Transactional","Site links, People also ask, Video carousel, Knowledge panel","0.10,0.16,0.20,0.27,0.16,0.44,0.36,0.36,0.52,0.80,1.00,0.52"
la energía que te premia,1300,25,0.00,0.00,632000,Navigational,"Reviews, Site links, Video","0.30,0.30,0.41,0.79,1.00,1.00,0.41,0.54,0.54,0.66,0.66,0.36"
logo energía,1300,28,0.35,0.20,115000000,Navigational,"Reviews, Site links, Image, Image pack","0.30,0.34,0.44,0.55,0.55,0.65,0.65,1.00,0.00,0.00,0.00,0.00"
qué es la energía,1300,48,0.38,0.01,565000000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.05,0.20,0.20,0.22,0.16,0.29,0.29,0.43,0.43,0.54,0.36,0.10"
total energía,1300,40,1.33,0.45,129000000,Navigational,"Local pack, Reviews, Site links, Video, People also ask, Knowledge panel","0.16,0.36,0.54,0.66,0.66,0.66,0.66,1.00,0.79,0.66,0.66,0.00"
xxi energía,1300,47,1.06,0.11,18700000,Commercial,"Local pack, Reviews, Video, People also ask","1.00,1.00,1.00,1.00,1.00,1.00,0.76,1.00,1.00,0.76,0.67,0.67"
biomasa energía,1000,35,0.43,0.03,7630000,Informational,"Reviews, People also ask, Video carousel, Knowledge panel","0.05,0.13,0.24,0.34,0.24,0.34,0.34,0.55,0.44,0.82,0.55,0.07"
energía cinética fórmula,1000,46,0.00,0.00,1880000,Informational,"Featured snippet, Image, People also ask, Video carousel","0.16,0.52,0.68,0.52,0.31,0.52,0.46,0.52,0.52,0.84,1.00,0.13"
energía de ionización,1000,24,0.00,0.00,1750000,"Informational, Transactional","Video, Image, People also ask, Video carousel, Knowledge panel","0.04,0.31,0.84,0.84,0.37,0.46,0.25,0.31,0.52,1.00,0.84,0.13"
energía térmica,1000,39,0.24,0.00,16900000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.07,0.20,0.30,0.34,0.20,0.30,0.34,0.55,0.44,0.65,1.00,0.04"
energía xxi tarifas,1000,35,0.62,0.38,93,Navigational,"Local pack, Reviews, Site links, People also ask, Image pack","0.37,0.52,0.68,0.68,0.68,1.00,0.68,0.68,0.37,0.37,0.31,0.25"
fórmula energía,1000,40,0.00,0.00,30900000,Informational,"Featured snippet, Site links, Video, Image, People also ask, Image pack, Video carousel, Knowledge panel","0.20,0.79,1.00,0.79,0.41,0.66,0.54,0.66,0.01,0.00,0.10,0.01"
lúmina energía,1000,36,1.06,0.11,2480000,Navigational,"Local pack, Reviews, Site links, Video","0.62,1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.00,0.00,0.00,0.00"
teléfono de atención al cliente de energía 21,1000,34,1.48,0.50,96,Commercial,"Reviews, Site links, People also ask","0.01,0.01,0.02,0.23,0.01,0.16,0.12,0.01,0.00,0.00,0.01,0.01"
tipos de energías,1000,60,0.50,0.01,30200000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Video carousel","0.05,0.13,0.13,0.16,0.10,0.16,0.16,0.27,0.52,0.66,1.00,0.13"
tipos de energías renovables,1000,57,0.00,0.00,11400000,Informational,"Featured snippet, Site links, FAQ, Image, People also ask, Video carousel","0.16,0.24,0.30,0.54,0.30,0.41,0.41,0.54,0.54,1.00,0.20,0.10"
aldro energía opiniones,880,25,0.63,0.24,89,"Navigational, Transactional","Reviews, Site links, FAQ, Video, People also ask, Image pack, Knowledge panel","0.55,0.76,1.00,1.00,0.76,1.00,1.00,0.76,0.36,0.30,0.20,0.13"
buenos días con energía positiva,880,22,0.00,0.01,97,Informational,"Reviews, Site links, Video, Image, Image pack","0.88,0.88,1.00,1.00,0.88,1.00,0.88,1.00,0.88,0.72,0.59,0.88"
chc energía acceso clientes,880,26,0.90,0.01,94,"Informational, Transactional","Reviews, Site links, FAQ, Video, Image pack","0.45,0.36,1.00,0.67,0.55,0.55,0.76,0.76,0.76,1.00,0.76,0.45"
energica,880,28,0.53,0.07,7630000,"Informational, Navigational","Site links, Video, Image, Video carousel, Knowledge panel","0.88,0.88,0.88,0.88,0.72,0.72,0.72,0.88,0.59,1.00,0.88,0.72"
energizer,880,35,0.16,0.48,33100000,Navigational,"Local pack, Reviews, Site links, Video, Image, People also ask, Knowledge panel","0.55,0.76,1.00,1.00,0.76,0.76,0.55,0.76,0.55,0.45,0.45,0.55"
energía cinetica,880,45,0.54,0.00,901000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.08,0.16,0.20,0.24,0.13,0.20,0.20,0.24,0.65,1.00,0.44,0.07"
energía nufri,880,32,0.70,0.06,72,Navigational,"Reviews, Site links, Video, Image pack, Knowledge panel","0.07,0.16,0.44,1.00,0.82,0.34,0.24,0.24,0.01,0.30,0.20,0.16"
energía solar ventajas y desventajas,880,35,0.00,0.00,3440000,Informational,"Featured snippet, Reviews, People also ask, Video carousel","0.84,0.46,0.68,1.00,0.16,0.25,0.52,0.31,0.25,0.46,0.37,0.08"
energías renovables y no renovables,880,49,0.38,0.06,30800000,Informational,"Featured snippet, Site links, FAQ, People also ask, Video carousel","0.07,0.16,0.20,0.34,0.20,0.20,0.34,0.44,0.44,0.65,0.55,0.04"
fc energía,880,27,0.00,0.00,11500000,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.16,0.37,0.20,0.68,0.84,1.00,0.68,0.52,0.31,0.31,0.20,0.37"
masluz energía,880,41,1.31,0.28,602000,Navigational,"Local pack, Reviews, Site links, Video, People also ask","0.41,0.54,0.41,0.41,0.36,0.30,0.30,0.41,0.00,0.02,0.00,0.00"
más luz energía atención al cliente,880,30,0.00,0.29,34600000,"Informational, Transactional","Local pack, Reviews, Video, People also ask, Image pack","1.00,0.43,0.22,0.22,0.29,0.02,0.20,0.02,0.01,0.00,0.00,0.00"
que bebida energética da más energía,880,37,0.00,0.42,681000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.44,0.55,1.00,0.08,0.03,0.05,0.44,0.03,0.02,0.03,0.03,0.02"
que es la energía renovable,880,57,0.27,0.17,18000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.05,0.16,0.16,0.30,0.20,0.24,0.30,0.54,0.54,1.00,0.66,0.10"
que son las energías renovables,880,57,0.27,0.17,29900000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.07,0.24,0.24,0.41,0.30,0.41,0.41,0.66,0.54,0.20,0.66,0.10"
ventajas de la energía nuclear,880,35,0.00,0.00,5080000,Informational,"Featured snippet, Reviews, Video, People also ask","0.08,0.24,0.45,0.62,0.62,0.62,1.00,0.62,0.45,0.81,0.45,0.01"
ahorro energía,720,45,0.35,0.24,32900000,Informational,"Reviews, Site links, Top stories, People also ask, Image pack, Video carousel, Twitter","0.30,0.30,0.55,0.55,0.45,0.45,0.45,0.62,0.45,0.62,0.45,0.30"
aldro energía denuncias,720,19,0.43,0.10,88,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.24,0.30,0.36,0.36,0.36,0.62,0.62,1.00,0.45,0.36,0.24,0.16"
aldro energía facturas,720,31,0.55,0.20,4520,Transactional,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.24,0.45,0.45,0.45,0.55,0.81,0.81,1.00,0.45,0.36,0.30,0.20"
alterna energía,720,32,1.05,0.21,8620000,"Navigational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack, Knowledge panel","0.45,0.55,0.55,0.76,0.76,1.00,0.76,1.00,0.13,0.16,0.20,0.08"
como ahorrar la energía,720,45,0.35,0.24,20000000,Informational,"Featured snippet, Reviews, Site links, Video carousel","0.30,0.30,0.54,0.54,0.41,0.41,0.41,0.66,0.00,0.00,0.00,0.00"
de ahorro de energía,720,44,0.46,0.52,38400000,Informational,"Reviews, Site links, FAQ, Top stories, People also ask, Image pack, Video carousel","0.45,0.55,0.67,0.55,0.45,0.55,0.55,0.76,0.55,0.55,0.45,0.36"
energía hidroeléctrica,720,45,0.60,0.03,5440000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.13,0.20,0.30,0.55,0.36,0.36,0.55,0.62,1.00,1.00,0.81,0.08"
energía hidráulica,720,42,0.00,0.00,10600000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.13,0.05,0.13,0.37,0.25,0.37,0.37,0.68,0.52,1.00,0.68,0.25"
energía libre de gibbs,720,28,0.00,0.00,259000,"Informational, Transactional","Reviews, Site links, Video, People also ask, Video carousel, Knowledge panel","0.11,0.11,0.34,0.30,0.44,0.30,1.00,0.13,0.07,0.04,0.05,0.04"
energía solar fotovoltaica,720,52,1.17,0.78,7720000,Informational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel, Adwords bottom","0.48,0.59,0.88,0.88,0.59,0.59,0.72,0.88,0.72,0.88,0.72,0.39"
energía termica,720,39,0.24,0.00,5580000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.04,0.11,0.16,0.20,0.11,0.16,0.20,0.31,0.68,1.00,1.00,0.07"
energías alternativas,720,51,0.61,0.35,11100000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.30,0.36,0.45,0.55,0.36,0.55,0.76,1.00,0.67,0.67,0.45,0.24"
factor energía opiniones,720,22,0.85,0.32,12000000,Commercial,"Local pack, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.45,0.55,0.55,0.55,0.45,0.55,0.55,1.00,0.67,0.67,0.67,1.00"
feníe energía opiniones,720,21,0.68,0.26,63,Informational,"Reviews, Site links, Image pack, Knowledge panel","0.36,0.45,0.45,0.45,0.45,0.76,0.76,1.00,0.55,0.45,0.30,0.30"
fuentes de energía no renovables,720,42,0.58,0.01,12000000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Video carousel, Knowledge panel","0.05,0.16,0.16,0.16,0.16,0.24,0.30,0.41,0.41,0.79,0.66,0.01"
las fuentes de energía,720,39,0.56,0.05,111000000,"Informational, Transactional","Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.05,0.16,0.20,0.31,0.20,0.31,0.37,0.52,0.52,1.00,0.52,0.05"
próxima energía reseñas,720,,0.00,0.00,,,,1.00
que es energía,720,46,0.38,0.01,653000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.04,0.16,0.16,0.20,0.13,0.24,0.24,0.36,0.41,1.00,1.00,0.10"
som energía opiniones,720,19,0.65,0.30,81,Commercial,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.55,1.00,0.76,0.76,0.45,0.76,0.45,0.45,0.24,0.24,0.08,0.16"
teléfono gratuito energía xxi,720,30,1.31,0.39,73,Informational,"Featured snippet, Local pack, Reviews, Site links, People also ask","0.20,0.24,0.20,0.24,0.24,0.36,0.30,1.00,1.00,1.00,0.24,0.20"
acciona energía,590,35,0.31,0.08,99,Commercial,"Local pack, Site links, Top stories, People also ask, Image pack, Video carousel, Knowledge panel","0.07,0.11,0.08,0.08,0.07,0.08,0.13,0.13,1.00,0.24,0.13,0.24"
agencia internacional de la energía,590,25,0.77,0.01,19600000,Informational,"Site links, Video, Image pack, Knowledge panel","0.13,0.16,0.30,0.36,0.20,0.24,0.24,1.00,0.45,0.36,0.30,0.24"
ahorro de energía,590,42,0.46,0.52,37100000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Twitter","0.48,0.59,0.72,0.59,0.48,0.59,0.59,0.88,0.72,0.59,0.48,0.59"
chc energía área clientes,590,19,0.93,0.00,75,"Informational, Transactional","Reviews, Site links, Video","0.00,0.00,1.00,0.67,0.36,0.00,0.45,0.45,0.36,0.76,0.67,0.36"
como conseguir mega energía pokémon go,590,26,0.00,0.00,97,Informational,"Featured snippet, People also ask, Video carousel","0.01,1.00,0.52,0.68,0.25,0.68,0.03,0.01,0.05,0.07,0.13,0.11"
energía mecánica,590,41,0.00,0.00,40000000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.11,0.16,0.37,0.25,0.20,0.25,0.37,0.37,0.37,0.84,0.52,0.13"
energía nuclear en españa,590,44,0.00,0.00,8560000,Informational,"Site links, Video, People also ask, Video carousel, Knowledge panel","0.30,0.55,0.55,0.76,0.36,0.55,0.45,1.00,0.05,0.08,0.03,0.03"
energía nuclear ventajas y desventajas,590,28,0.09,0.00,718000,Informational,"Reviews, Video, People also ask","0.36,0.67,0.67,1.00,0.44,0.81,0.81,1.00,0.54,0.81,0.54,0.19"
energía potencial gravitatoria,590,35,0.00,0.00,250000,"Informational, Transactional","Video, Image, People also ask, Video carousel, Knowledge panel","0.06,0.24,0.45,0.45,0.30,0.30,0.30,0.30,0.20,1.00,1.00,0.08"
energía solar térmica,590,32,0.48,0.57,8370000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.04,0.08,0.13,0.16,0.11,0.13,0.13,0.16,0.84,1.00,0.84,0.31"
energía undimotriz,590,27,0.12,0.01,97800,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.17,0.32,0.72,0.72,0.48,0.59,0.59,0.72,1.00,0.88,0.59,0.11"
energía xxi bono social teléfono,590,40,0.90,0.10,89,Informational,"Featured snippet, Reviews, People also ask, Image pack","0.01,0.03,0.03,0.01,0.01,1.00,0.05,0.01,0.00,0.01,0.00,0.00"
energías no renovables,590,30,0.57,0.01,32100000,Informational,"Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.03,0.03,0.08,0.11,0.05,0.07,0.16,0.16,0.34,0.55,1.00,0.11"
eres energía,590,27,0.92,0.19,57600000,Navigational,"Reviews, Site links, FAQ, Image pack, Knowledge panel","0.88,0.88,0.72,0.72,0.72,0.72,0.59,0.72,0.00,0.21,0.00,0.04"
factor energía opiniones ocu,590,27,0.85,0.25,90,"Navigational, Transactional","Reviews, People also ask, Image pack","0.24,0.30,0.45,0.55,0.45,0.67,0.55,1.00,0.55,0.36,0.36,0.36"
gana energía área clientes,590,27,0.96,0.02,98,"Informational, Transactional","Reviews, Image pack, Video carousel","1.00,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.54,0.66,0.66,0.81"
