Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
kit domotica,480,18,0.26,1.00,5290000,"Informational, Transactional","Local pack, Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.02,0.10,0.36,1.00,0.24,0.24,0.02,0.02,0.02,0.02,0.01,0.02"
domotica persianas,390,20,0.34,1.00,276000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.66,0.81,0.81,0.81,1.00,0.81,0.66,0.66,0.66,0.54,0.66"
domotico,390,40,0.25,0.38,323000,Informational,"Featured snippet, Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.54,1.00,1.00,1.00,0.81,1.00,0.81,1.00,0.43,1.00,0.81,1.00"
domótica en casa,390,29,0.40,0.91,17500000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.44,0.29,0.54,0.54,0.44,0.29,0.44,0.29,0.67,0.29,0.29,0.23"
knx domotica,390,25,0.35,1.00,239000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.81,0.81,0.81,0.66,0.81,1.00,0.81,0.54,0.66,0.44,0.44"
domotica instalaciones,320,17,0.67,0.61,6800000,Commercial,"Local pack, Reviews, Site links, People also ask, Image pack, Video carousel","0.35,1.00,0.81,0.54,0.44,0.35,0.44,0.44,0.44,0.44,0.44,0.28"
domotica que es,320,37,0.39,0.06,2140000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.23,0.81,1.00,0.81,0.54,0.54,0.54,0.54,0.44,0.66,0.54,0.18"
instalaciones domoticas,320,22,0.67,0.61,23500,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel, Knowledge panel","0.44,1.00,0.81,0.66,0.44,0.44,0.44,0.44,0.35,0.44,0.54,0.28"
instalaciones domoticas editex pdf,320,12,0.00,0.10,78,Informational,"Reviews, Video, Image pack","0.01,1.00,1.00,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01"
konex domotica,320,8,0.00,0.21,100,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.54,0.81,0.81,0.81,0.66,0.81,1.00,0.81,0.54,0.04,0.04,0.04"
sistema domótica,320,33,0.49,0.73,18500000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.28,0.66,1.00,0.81,0.44,0.54,0.54,0.54,0.35,0.54,0.44,0.35"
casas domoticas,260,26,0.28,0.98,14700,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.53,0.82,0.82,0.82,0.66,0.82,0.66,0.82,1.00,0.35,0.82,0.66"
termostato domotico,260,14,0.38,1.00,4910000,"Informational, Commercial","Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.01,0.01,1.00,0.11,0.13,0.52,0.01,0.01,0.01,0.01,0.01,0.01"
domotica amazon,210,33,0.09,1.00,6330000,"Navigational, Transactional","Reviews, Video, Image, Image pack, Video carousel","0.66,0.44,0.04,0.81,1.00,0.29,0.00,0.19,0.02,0.15,0.02,0.02"
domotica hogar,210,33,0.32,1.00,918000,"Informational, Commercial","Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.80,0.42,0.53,0.42,0.42"
domótico,210,40,0.27,0.37,295000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.28,0.66,0.82,0.82,0.53,0.66,0.66,0.66,0.43,0.66,0.53,1.00"
configuración de instalaciones domóticas y automáticas,170,20,0.24,0.26,99,"Informational, Transactional","Reviews, Image pack, Knowledge panel","0.07,0.59,1.00,0.02,0.11,0.14,0.02,0.02,0.02,0.02,0.02,0.02"
domotica alexa,170,15,0.20,1.00,994000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.43,0.43,0.53,0.81,0.81,1.00,0.43,0.43,0.34,0.28,0.21,0.15"
domotica compatible con alexa,170,8,0.19,0.81,2090000,"Informational, Commercial","Reviews, Site links, Image, Video carousel","0.01,0.01,0.01,1.00,0.20,0.24,0.13,0.01,0.01,0.01,0.01,0.01"
domotica xiaomi,170,17,0.14,1.00,4570000,Informational,"Reviews, Image, Video carousel","0.80,0.53,0.53,0.80,0.80,0.80,0.53,0.42,0.53,0.42,0.34,0.42"
domoticos,170,32,0.25,0.38,71100,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.53,1.00,1.00,1.00,0.80,1.00,0.80,1.00,0.07,0.00,0.00,0.03"
instalacion domotica,170,15,0.67,0.61,212000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.34,1.00,0.81,0.53,0.43,0.34,0.43,0.43,0.34,0.43,0.43,0.28"
interruptor domotica,170,12,0.39,1.00,409000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.66,0.80,0.80,1.00,0.80,0.80,0.80,0.66,0.80,0.66,0.66,0.66"
kaito domoto,170,28,0.00,0.00,35,"Informational, Transactional","Video, Image, People also ask, Knowledge panel","0.65,0.53,0.53,0.80,0.53,0.53,0.53,0.80,0.65,0.53,0.53,0.80"
productos domoticos,170,25,0.27,0.98,14000000,"Informational, Commercial","Local pack, Reviews, Image, Image pack, Video carousel","0.02,0.05,0.01,0.01,1.00,0.01,0.05,0.01,0.00,0.00,0.00,0.00"
sistema domotico,170,27,0.32,0.58,194000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.43,0.66,1.00,0.66,0.43,0.53,0.43,0.35,0.35,0.35,0.28,0.23"
sistemas domoticos,170,32,0.49,0.73,45300,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel, Knowledge panel","0.28,0.66,1.00,0.82,0.43,0.53,0.53,0.53,0.28,0.35,0.28,0.23"
app domotica,140,28,0.38,0.62,9500000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.06,0.15,0.06,0.15,0.06,1.00,0.54,0.06,0.05,0.05,0.06,0.03"
central domotica,140,20,0.24,1.00,566000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.22,0.43,0.29,0.43,0.29,0.43,0.22,0.22,0.29,0.22,0.22,0.22"
control domotico,140,24,0.27,1.00,93100,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.65,0.80,1.00,0.80,0.65,0.80,0.53,0.34,0.34,0.53,0.19"
domotic,140,14,0.51,0.90,522000,Commercial,"Local pack, Reviews, Site links, Image, Image pack, Video carousel","0.66,0.66,1.00,0.66,0.66,0.66,0.66,1.00,0.52,0.52,0.66,0.52"
domotica en ingles,140,20,0.00,0.00,458000,Informational,"Reviews, Site links, Video, People also ask","0.64,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.64,0.82,0.64,0.52"
domotica knx,140,39,0.36,0.89,241000,Informational,"Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.53,0.65,0.65,0.53,0.53,0.53,0.42,0.53,0.34,0.42,0.42,0.34"
domotica madrid,140,14,0.71,0.52,2090000,Commercial,"Local pack, Reviews, Site links, Video, People also ask, Image pack","0.64,0.64,1.00,0.82,0.64,0.41,0.41,1.00,0.52,0.82,0.64,0.64"
domotica navarra,140,13,0.00,0.14,256000,Commercial,"Local pack, Reviews, Video","0.01,0.01,1.00,0.10,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01"
domotica sistemas,140,42,0.49,0.73,906000,Navigational,"Reviews, Site links, People also ask, Image pack, Video carousel, Knowledge panel","0.26,0.65,1.00,0.80,0.42,0.53,0.53,0.53,0.34,0.53,0.42,0.34"
domotica solar youtube,140,33,0.00,0.03,136000,"Navigational, Transactional","Site links, Video","0.02,0.02,0.21,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02"
domotics,140,29,0.64,0.22,805000,Commercial,"Local pack, Reviews, Site links, Image pack, Video carousel","0.42,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.42,0.66,0.52,0.52"
domóticas,140,35,0.25,0.38,257000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.80,0.80,0.80,0.66,0.80,0.66,0.80,0.09,0.33,1.00,0.42"
empresa domotica,140,18,0.61,0.27,500000,Commercial,"Local pack, Reviews, People also ask","0.33,0.80,0.66,1.00,0.52,0.66,0.52,0.52,0.42,0.66,0.52,0.42"
loxone domotica,140,14,0.38,0.45,26400,Navigational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.34,0.80,0.80,0.80,0.53,0.42,0.53,0.53,0.53,0.53,0.15,0.15"
que es la domótica,140,35,0.39,0.06,24300000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.26,0.80,1.00,0.80,0.53,0.53,0.53,0.53,0.34,0.80,0.34,0.03"
sistemas domotica,140,37,0.49,0.73,786000,Informational,"Reviews, People also ask, Image pack, Video carousel, Knowledge panel","0.26,0.65,1.00,0.80,0.42,0.53,0.53,0.53,0.34,0.53,0.42,0.34"
arduino domotica,110,23,0.16,1.00,353000,Informational,"Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.64,0.64,0.82,0.82,0.82,0.82,0.64,0.64,0.52,0.64,0.64,0.29"
central domótica lidl,110,21,0.15,0.80,100,"Informational, Transactional","Reviews, Image, Image pack, Video carousel","0.19,0.12,0.12,0.12,0.12,0.12,0.12,0.07,0.10,0.04,0.04,0.05"
configuracion de instalaciones domoticas y automaticas,110,25,0.24,0.26,80000,"Informational, Transactional","Reviews, Knowledge panel","0.03,1.00,1.00,0.06,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00"
curso domotica,110,21,1.11,0.64,146000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.78,1.00,0.78,0.78,0.78,1.00,0.78,0.78,0.78,0.78,0.78,0.78"
domotica casa,110,34,0.29,1.00,9510000,Informational,"Featured snippet, Reviews, Site links, Image, People also ask, Video carousel","0.78,0.78,0.78,1.00,1.00,0.78,0.78,0.78,1.00,0.64,0.64,0.50"
domotica casa inteligente,110,28,0.36,0.86,368000,Informational,"Reviews, Image, People also ask, Video carousel","0.01,0.07,0.01,0.20,0.11,0.16,0.01,0.01,0.00,0.00,0.00,0.00"
domotica domestica,110,33,0.33,0.85,339000,"Informational, Navigational","Reviews, Site links, Image, People also ask, Video carousel, Knowledge panel","0.64,0.82,0.64,0.64,0.64,0.64,0.52,0.41,0.41,0.52,0.29,0.41"
domotica ejemplos,110,34,0.27,0.26,72900,Informational,"Featured snippet, Reviews, FAQ, Image, People also ask, Video carousel","0.19,0.52,1.00,1.00,0.52,0.52,0.52,0.52,0.42,0.52,0.33,0.23"
domotica lidl,110,39,0.16,0.48,94,"Informational, Transactional","Reviews, Video, Image, Image pack, Video carousel","0.35,0.22,0.29,0.22,0.29,0.29,0.18,0.22,0.14,0.14,0.08,0.18"
domotica luces,110,20,0.43,1.00,393000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.01,0.01,0.25,0.11,0.13,0.11,0.01,0.01,0.01,0.01,0.01,0.01"
domótica compatible con alexa,110,8,0.19,0.81,636000,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.14,0.02,0.08,0.81,0.43,1.00,0.02,0.10,0.06,0.06,0.00,0.04"
domótica ejemplos,110,34,0.27,0.26,457000,Informational,"Featured snippet, Reviews, FAQ, Image, People also ask, Video carousel","0.19,0.66,1.00,1.00,0.52,0.66,0.66,0.66,0.33,0.42,0.52,0.23"
empresas de domotica,110,20,0.53,0.27,334000,Commercial,"Local pack, People also ask, Image pack","0.19,0.52,1.00,0.66,0.52,0.66,0.66,0.52,0.42,0.52,0.52,0.52"
enchufe domotico,110,16,0.21,1.00,12600,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.52,0.52,0.52,1.00,1.00,0.66,0.52,0.52,0.42,0.42,0.52,0.66"
esquema domotica vivienda,110,15,0.00,1.00,70600,Informational,"Reviews, Image, Image pack, Video carousel","0.03,0.03,0.54,0.35,0.03,0.11,1.00,0.03,0.03,0.03,0.03,0.03"
ikea domotica,110,40,0.34,1.00,499000,"Informational, Transactional","Reviews, Video, Image, Image pack","0.82,0.64,0.64,0.82,1.00,1.00,0.41,0.52,0.52,0.52,0.41,0.41"
instalacion domotica en casa,110,10,0.70,0.88,135000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.04,0.04,0.04,1.00,0.36,0.04,0.06,0.04,0.02,0.02,0.02,0.02"
knx domótica,110,32,0.38,0.90,183000,Informational,"Reviews, Site links, Image, People also ask, Video carousel","0.09,1.00,0.15,0.05,0.44,0.05,0.05,0.05,0.02,0.02,0.02,0.02"
pantalla domotica,110,14,0.21,1.00,468000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.08,0.08,0.08,0.28,0.08,1.00,0.08,0.08,0.06,0.06,0.05,0.06"
persiana domotica,110,18,0.34,1.00,124000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.50,0.64,0.78,0.78,0.78,1.00,0.78,0.64,0.64,0.64,0.50,0.50"
persianas domotica,110,22,0.34,1.00,226000,Informational,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.52,0.64,0.82,0.82,0.82,1.00,0.82,0.64,0.64,0.64,0.52,0.64"
persianas domoticas,110,18,0.34,1.00,6320,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.64,0.78,0.78,0.78,0.78,1.00,0.78,0.78,0.64,0.78,0.64,0.64"
que es una casa domotica,110,27,0.22,0.18,12200000,Informational,"Featured snippet, Reviews, FAQ, People also ask, Video carousel","0.12,0.12,0.12,0.12,1.00,0.12,0.12,0.12,0.06,0.04,0.02,0.02"
que significa domotico,110,35,0.27,0.04,1930000,Informational,"Reviews, Site links, Video, People also ask","0.26,0.53,0.53,1.00,0.53,0.80,0.53,0.53,0.00,0.00,0.00,0.00"
sensores domotica,110,10,0.34,1.00,663000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.19,0.52,1.00,1.00,0.52,0.52,0.52,0.52,0.42,0.52,0.33,0.52"
sistemas de domotica,110,36,0.37,0.63,1110000,Informational,"Reviews, People also ask, Image pack, Video carousel, Knowledge panel","0.34,0.80,1.00,0.53,0.34,0.42,0.34,0.42,0.26,0.26,0.19,0.19"
sistemas domóticos e inmóticos,110,29,0.30,0.44,25300,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.02,0.12,1.00,0.02,0.23,0.02,0.02,0.09,0.05,0.05,0.05,0.04"
termostato domotica,110,17,0.38,1.00,276000,"Informational, Commercial","Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.08,0.14,0.81,0.43,1.00,0.43,0.02,0.02,0.04,0.02,0.00,0.00"
vivienda domotica,110,30,0.34,0.74,625000,Informational,"Featured snippet, Reviews, People also ask, Video carousel","0.42,0.52,1.00,1.00,0.52,0.52,0.52,0.52,0.42,0.52,0.52,0.33"
xiaomi domotica,110,17,0.14,1.00,4510000,Informational,"Reviews, Image, Image pack, Video carousel","0.52,0.66,0.66,1.00,0.80,0.80,0.66,0.42,0.42,0.33,0.33,0.33"
