Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
cuenta de ahorro,1300,45,0.72,0.58,174000000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.76,1.00,1.00,0.76,0.76,1.00,1.00,1.00,1.00,1.00,0.76,0.76"
energia ahorra,1300,46,0.35,0.24,56500000,Informational,"Local pack, Reviews, Site links, People also ask, Image pack, Video carousel","0.36,0.41,0.66,0.66,0.54,0.54,0.54,0.79,0.54,1.00,0.66,0.05"
https://todoandroid.live/quieres-ahorrar-bateria-en-un-android/,1300,21,0.00,0.00,43,"Informational, Transactional","Reviews, Video","1.00,0.66,0.00,0.00,0.00"
ideas para ahorrar agua,1300,37,0.35,0.09,7560000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Video carousel","0.01,0.03,0.01,0.44,0.01,0.01,1.00,0.01,0.00,0.00,0.00,0.00"
king ahorro,1300,18,0.09,0.03,5770000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.54,0.41,0.41,0.30,0.54,0.30,0.30,0.79,0.79,0.66,1.00,1.00"
ahorradores energeticos,1000,15,0.49,0.14,647000,Informational,"Reviews, Image, People also ask, Image pack","0.45,0.62,0.81,0.81,0.45,0.62,0.62,1.00,0.62,1.00,0.62,0.81"
ahorrar bateria iphone,1000,48,0.03,0.03,303000,Informational,"Reviews, Top stories, People also ask, Image pack, Video carousel","0.76,0.76,0.76,0.76,0.76,1.00,0.76,0.76,1.00,0.76,0.67,0.67"
ahorren,1000,26,0.55,0.07,829000,"Informational, Transactional","Reviews, Site links, Image pack","0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.45,0.67,0.36,0.55"
ahorro de bateria,1000,41,0.13,0.03,2610000,Informational,"Reviews, Video, People also ask, Image pack, Video carousel","0.55,0.55,0.55,0.62,0.81,0.62,0.62,0.81,0.81,1.00,1.00,1.00"
ahorro luz,1000,53,0.63,0.49,34000000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.30,0.45,0.62,0.81,0.55,0.55,0.45,1.00,1.00,0.62,0.45,0.36"
ahorró,1000,25,0.55,0.07,1500000,Informational,Video,"0.62,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.16,0.04,0.13,0.24"
cajas de ahorro,1000,44,0.81,0.08,15200000,Informational,"Local pack, Site links, People also ask, Knowledge panel","0.62,0.81,0.62,0.45,0.36,0.45,0.45,0.81,1.00,0.62,0.81,0.81"
carrefour cheque ahorro,1000,29,0.40,0.06,98,"Navigational, Transactional","Reviews, Site links, People also ask, Image pack, Video carousel","0.24,0.41,0.20,0.66,0.24,0.41,0.20,0.36,0.79,1.00,0.54,1.00"
cuenta ahorro ing,1000,28,0.71,0.33,6070000,"Informational, Transactional","Reviews, FAQ, Video, People also ask, Image pack","0.76,0.76,0.76,0.76,0.67,1.00,1.00,0.76,0.67,0.67,0.55,0.76"
plan de ahorro,1000,28,1.26,0.40,75800000,Informational,"Reviews, Site links, FAQ, Top stories, People also ask, Image pack","0.67,0.67,0.76,0.76,0.76,1.00,0.76,0.76,0.76,1.00,0.76,0.76"
sofas ahorro total,1000,39,0.27,1.00,66,Transactional,"Local pack, Reviews, Site links, Video, Image, Image pack","0.88,1.00,1.00,1.00,0.72,1.00,0.88,1.00,0.88,0.88,0.88,0.72"
ahorr,880,55,0.55,0.07,242000000,Commercial,"Local pack, Reviews, Site links, Top stories, People also ask, Image pack, Video carousel","0.45,0.55,0.55,0.76,0.55,0.76,0.55,0.76,0.45,0.67,1.00,0.55"
ahorrar agua,880,48,0.30,0.18,29400000,Informational,"Featured snippet, Site links, People also ask, Video carousel","0.16,0.20,0.55,0.81,0.45,0.55,0.62,1.00,0.55,0.55,0.36,0.24"
ahorrar en la luz,880,46,0.63,0.49,23800000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.31,0.46,0.68,0.84,0.52,0.52,0.46,1.00,0.46,0.37,0.25,0.25"
ahorrar en luz,880,46,0.63,0.49,20400000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.30,0.45,0.62,0.81,0.55,0.55,0.45,1.00,0.55,0.62,0.30,0.24"
ahorro 50 30 20,880,27,0.00,0.02,54300000,Informational,"Reviews, FAQ, People also ask, Image pack, Video carousel","0.04,0.01,1.00,0.15,0.08,0.13,0.01,0.01,0.00,0.00,0.00,0.02"
ahorro de energia,880,43,0.46,0.52,16400000,Informational,"Reviews, Site links, Video, Top stories, People also ask, Image pack, Video carousel","0.45,0.45,0.62,0.45,0.45,0.45,0.45,0.81,0.55,0.81,0.36,0.62"
ahorro energetico,880,46,0.49,0.14,1900000,Commercial,"Local pack, Top stories, People also ask, Image pack, Video carousel","0.30,0.45,0.62,0.62,0.36,0.45,0.45,0.62,0.55,1.00,0.55,0.62"
ahorro total sofás,880,39,0.27,1.00,68,Transactional,"Local pack, Reviews, Site links, Video, Image, People also ask, Image pack","0.76,1.00,1.00,1.00,0.67,1.00,0.76,1.00,0.00,0.00,0.00,0.00"
cuenta ahorro santander,880,57,0.44,0.29,98,"Informational, Transactional","Reviews, Site links, Video, People also ask","0.76,0.67,1.00,0.67,1.00,0.67,0.76,0.76,0.67,0.55,0.55,0.67"
cuenta de ahorro sin comisiones,880,52,1.16,0.79,13700000,Commercial,"Reviews, FAQ, Video, People also ask, Image pack","0.88,1.00,0.88,0.88,0.72,0.88,0.88,0.88,0.59,0.59,0.59,0.72"
cuentas de ahorro,880,48,0.72,0.58,60400000,Commercial,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.55,0.67,0.67,0.55,0.55,0.67,0.67,0.67,1.00,0.76,0.45,0.67"
menu ahorro burger king,880,28,0.20,0.02,93,"Informational, Commercial","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.55,0.36,0.55,0.55,0.55,0.55,0.36,0.55,0.55,0.62,0.81,1.00"
menu king ahorro,880,18,0.13,0.02,1130000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.37,0.31,0.31,0.31,0.37,0.31,0.31,0.68,0.68,0.46,0.84,1.00"
pedir hipoteca sin ahorros,880,22,1.57,0.80,1250000,Informational,"Reviews, Site links, FAQ, Video, People also ask","0.30,0.30,0.30,0.24,0.13,0.24,0.24,0.30,0.20,0.79,1.00,0.30"
tener 100.000 euros ahorrados,880,23,0.00,0.04,9620,Informational,"Reviews, Video, People also ask, Image pack","0.01,0.05,0.44,1.00,0.13,0.18,0.05,0.01,0.01,0.02,0.01,0.01"
ahorrar en ingles,720,31,0.00,0.00,0,Informational,"Reviews, Video, People also ask, Image pack","0.30,0.36,0.45,0.55,0.36,0.45,0.55,0.55,0.76,1.00,0.55,0.55"
ahorrar energia,720,45,0.35,0.24,4690000,Informational,"Featured snippet, Reviews, Site links, Top stories, People also ask, Image pack, Video carousel, Twitter","0.30,0.30,0.55,0.55,0.45,0.45,0.45,0.62,0.45,0.62,0.45,0.30"
ahorro en luz,720,47,0.63,0.49,36800000,"Informational, Transactional","Reviews, Site links, People also ask, Video carousel","0.30,0.45,0.62,0.81,0.55,0.55,0.45,1.00,0.45,0.24,0.20,0.20"
ahorro energia,720,44,0.35,0.24,11500000,Informational,"Reviews, Site links, Top stories, People also ask, Video carousel, Twitter","0.30,0.30,0.55,0.55,0.45,0.45,0.45,0.62,0.45,0.62,0.45,0.30"
ahorro energía,720,45,0.35,0.24,32900000,Informational,"Reviews, Site links, Top stories, People also ask, Image pack, Video carousel, Twitter","0.30,0.30,0.55,0.55,0.45,0.45,0.45,0.62,0.45,0.62,0.45,0.30"
base imponible del ahorro,720,15,0.00,0.00,1120000,Informational,"Reviews, Site links, Video, People also ask, Image pack","0.16,0.30,0.30,0.36,0.30,0.36,0.30,0.45,1.00,0.81,0.81,0.20"
base imponible del ahorro 2021,720,25,0.00,0.00,210000,Informational,"Featured snippet, Reviews, Video, People also ask, Image pack","0.00,0.66,0.66,0.66,1.00,0.02,0.10,0.02,0.10,0.08,0.08,0.00"
cheque ahorro carrefour 2021,720,28,0.49,0.16,65600,"Navigational, Transactional","Reviews, People also ask, Image pack, Video carousel","0.30,0.66,0.30,1.00,0.30,0.13,0.02,0.01,0.01,0.00,0.00,0.00"
circulando cuesta abajo puede poner punto muerto para ahorrar carburante,720,24,0.00,0.00,79,Informational,"Featured snippet, People also ask","0.72,1.00,0.72,0.72,0.48,0.72,0.72,0.72,0.48,0.59,0.59,1.00"
como ahorrar la energía,720,45,0.35,0.24,20000000,Informational,"Featured snippet, Reviews, Site links, Video carousel","0.30,0.30,0.54,0.54,0.41,0.41,0.41,0.66,0.00,0.00,0.00,0.00"
de ahorro de energía,720,44,0.46,0.52,38400000,Informational,"Reviews, Site links, FAQ, Top stories, People also ask, Image pack, Video carousel","0.45,0.55,0.67,0.55,0.45,0.55,0.55,0.76,0.55,0.55,0.45,0.36"
farmacia del ahorro,720,36,0.14,0.06,15600000,Navigational,"Reviews, Site links, Video, Image, Image pack, Twitter","0.20,0.16,0.16,0.10,0.16,0.16,0.13,0.20,0.54,1.00,0.54,0.66"
fondo nacional del ahorro,720,39,0.51,0.02,21900000,Navigational,"Local pack, Reviews, Site links, Video, Top stories, People also ask, Twitter, Knowledge panel","1.00,0.72,0.59,0.59,0.59,0.72,0.88,0.88,0.72,0.48,0.59,0.72"
hipoteca sin ahorros,720,18,1.84,0.91,1280000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel","0.16,0.16,0.16,0.16,0.13,0.24,0.20,0.20,0.20,0.66,1.00,0.24"
icuenta ahorro santander,720,57,0.44,0.29,8510000,"Informational, Transactional","Reviews, Site links, People also ask, Video carousel","0.88,1.00,1.00,0.88,0.88,1.00,0.88,1.00,0.72,0.00,0.00,0.00"
ahorra luz opiniones,590,34,0.84,0.45,9120000,Informational,"Reviews, Site links, Video, People also ask","0.07,1.00,0.01,0.29,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00"
ahorrador,590,26,0.55,0.07,9030000,Informational,"Reviews, Video, Image, People also ask, Image pack","0.39,0.48,0.48,0.59,0.48,0.59,0.48,0.59,1.00,0.72,0.48,0.39"
ahorrar en la factura de la luz,590,54,0.93,0.56,3100000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Image pack, Video carousel","0.31,0.31,0.37,0.37,0.25,0.37,0.37,0.68,0.13,0.13,0.13,0.11"
ahorre luz,590,47,0.63,0.49,19000000,Navigational,"Reviews, Site links, Video, Knowledge panel","0.24,0.36,0.55,0.76,0.45,0.45,0.36,1.00,0.55,0.30,0.24,0.30"
ahorro de energía,590,42,0.46,0.52,37100000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Twitter","0.48,0.59,0.72,0.59,0.48,0.59,0.59,0.88,0.72,0.59,0.48,0.59"
ahorros energéticos,590,42,0.49,0.14,7640000,Commercial,"Local pack, Reviews, Video, People also ask, Twitter, Knowledge panel","0.48,0.72,0.88,0.88,0.59,0.72,0.72,1.00,0.00,0.00,0.00,0.00"
cajas de ahorros,590,41,0.81,0.08,5990000,Commercial,"Local pack, Site links, Video, Image, People also ask, Knowledge panel","0.36,0.45,0.36,0.30,0.24,0.30,0.30,0.45,1.00,0.55,0.45,0.67"
cash ahorro,590,25,0.00,0.00,11400000,Navigational,"Reviews, Site links, Video, Image, Knowledge panel","0.54,0.54,0.54,0.44,0.67,0.44,0.54,0.81,0.67,1.00,0.81,1.00"
como ahorrar dinero en casa,590,28,0.30,0.34,23200000,Informational,"Featured snippet, People also ask, Video carousel","0.24,0.30,0.30,0.30,0.24,0.55,0.45,0.55,0.45,0.45,0.62,1.00"
como ahorrar energia,590,47,0.35,0.24,5970000,Informational,"Featured snippet, Reviews, Site links, Image pack, Video carousel","0.30,0.36,0.55,0.55,0.45,0.45,0.45,0.67,0.67,0.67,0.55,0.30"
como ahorrar luz,590,49,0.60,0.68,19200000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.24,0.30,0.24,0.24,0.20,0.30,0.24,1.00,0.13,0.10,0.08,0.07"
cuando sale el cheque ahorro carrefour,590,19,0.37,0.02,82,Informational,"Reviews, Video, People also ask, Image pack","0.16,0.36,0.13,1.00,0.16,0.45,0.20,0.55,0.36,0.55,0.55,1.00"
cuenta ahorro la caixa,590,40,0.63,0.18,2260000,Informational,"Reviews, Site links, Video, People also ask","0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.66,0.66"
cuenta ahorro openbank,590,28,1.30,0.35,92,"Informational, Transactional","Reviews, FAQ, Video, People also ask, Image pack, Adwords top","0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.36,0.36,0.45,0.45"
cuenta ahorro sin comisiones,590,50,0.91,0.80,13400000,"Informational, Transactional","Reviews, FAQ, Video, People also ask","1.00,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.54,0.54,0.81,0.66"
diureticos ahorradores de potasio,590,37,0.00,0.47,11300,Informational,"Featured snippet, Site links, Video, People also ask","0.54,0.66,0.81,1.00,0.81,1.00,0.66,0.81,0.81,0.81,0.81,0.54"
mejor cuenta ahorro,590,35,0.66,0.44,103000000,Commercial,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.54,0.81,0.54,0.81"
mejores cuentas de ahorro,590,36,0.70,0.52,14000000,Commercial,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel, Adwords bottom","0.81,0.81,0.81,0.81,0.81,1.00,0.66,0.81,0.66,0.81,0.81,1.00"
para ahorrar carburante cómo se debe ventilar el vehículo,590,14,0.00,0.00,2500,Informational,"Video, People also ask","0.72,0.72,0.59,0.72,0.48,0.59,0.72,0.72,0.59,0.48,0.72,1.00"
que meses llega el cheque ahorro carrefour,590,18,0.00,0.02,67,Informational,"Reviews, People also ask","0.03,0.34,0.20,1.00,0.13,0.24,0.08,0.20,0.05,0.11,0.03,0.05"
seguro de ahorro,590,34,1.37,0.42,55800000,Commercial,"Reviews, Site links, FAQ, People also ask, Image pack","0.81,0.81,1.00,1.00,0.81,1.00,1.00,1.00,0.66,1.00,1.00,0.54"
365 dias plantilla ahorro centimo,480,25,0.00,0.04,450,"Informational, Commercial","Video, People also ask, Image pack","0.00,0.00,0.00,0.03,0.05,1.00,0.36,0.24,0.16,0.36,0.30,0.54"
ahorra agua,480,44,0.30,0.18,31900000,Informational,"Video, Image, People also ask, Image pack, Video carousel","0.17,0.21,0.59,0.88,0.48,0.59,0.72,1.00,0.32,0.48,0.21,0.17"
ahorra calefaccion,480,34,0.25,0.20,20600000,Informational,"Local pack, Reviews, Site links, Image, People also ask, Video carousel","0.03,0.08,0.31,1.00,0.37,0.46,0.20,0.31,0.08,0.05,0.03,0.08"
ahorrador de energia,480,31,0.46,0.52,330000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.44,0.54,0.67,0.54,0.44,0.54,0.54,0.81,0.29,0.44,0.29,0.19"
ahorradoras cupones,480,29,0.38,0.08,53,"Navigational, Transactional","Reviews, Site links, Video, People also ask, Image pack","0.66,0.66,0.81,0.81,0.66,0.66,0.66,0.81,0.54,0.66,0.54,0.54"
ahorrar energía,480,49,0.35,0.24,18100000,Informational,"Featured snippet, Reviews, Site links, People also ask, Image pack, Video carousel","0.29,0.36,0.54,0.54,0.44,0.44,0.44,0.67,0.36,1.00,0.54,0.29"
ahorro en la luz,480,57,0.63,0.49,49100000,Informational,"Featured snippet, Local pack, Reviews, Site links, People also ask, Video carousel","0.29,0.44,0.67,0.81,0.54,0.54,0.44,1.00,0.67,0.36,0.36,0.29"
ahorro energético,480,42,0.49,0.14,16600000,Informational,"Reviews, Top stories, People also ask, Image pack, Video carousel","0.32,0.48,0.59,0.59,0.39,0.48,0.48,0.72,0.48,0.88,0.59,1.00"
ahorro plus repsol,480,24,1.18,0.26,81,Transactional,"Reviews, Site links, Video, People also ask, Image pack","0.00,0.00,0.00,0.00,0.00,0.22,1.00,0.02,0.00,0.00,0.03,0.00"
caja de ahorro,480,45,0.81,0.08,50000000,Commercial,"Local pack, Reviews, Site links, People also ask, Video carousel, Twitter, Knowledge panel","0.54,0.66,0.54,0.44,0.36,0.44,0.44,0.66,1.00,0.66,0.81,0.81"
caja de ahorros de mediterraneo,480,30,0.00,0.01,103000,"Informational, Transactional","Site links, People also ask, Image pack, Knowledge panel","0.66,0.81,0.81,0.81,0.66,0.66,0.81,0.81,0.66,0.81,0.81,0.35"
caja de ahorros y monte de piedad de madrid,480,22,1.05,0.05,332000,Informational,"Site links, People also ask, Image pack, Knowledge panel","0.44,0.66,0.66,0.81,0.54,0.81,0.66,1.00,0.81,0.81,0.81,0.66"
cheque ahorro carrefour noviembre 2021,480,30,0.00,0.03,80,"Informational, Transactional","Reviews, Video, People also ask, Image pack, Twitter","0.00,0.00,0.01,1.00,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00"
como ahorrar cobrando 1.000 euros,480,13,0.39,0.07,39600,Informational,"Reviews, Video, People also ask, Image pack","0.67,0.54,0.54,0.54,0.54,1.00,0.44,0.67,0.54,0.67,0.54,0.67"
como ahorrar gasolina,480,36,0.19,0.60,6540000,Informational,"Reviews, Site links, Top stories, People also ask, Image pack, Video carousel","0.16,0.20,0.20,0.20,0.13,0.16,0.30,1.00,0.20,0.20,0.45,0.20"
como comprar una casa sin ahorros,480,28,0.88,0.71,10600000,"Informational, Transactional","Reviews, People also ask, Video carousel","0.81,0.66,0.66,0.54,0.54,1.00,1.00,0.81,0.66,0.81,0.81,0.66"
como doblar camisetas para ahorrar espacio,480,31,0.00,0.08,85,Informational,People also ask,"0.81,0.81,0.66,0.54,0.29,0.66,0.44,0.44,0.54,0.81,0.81,1.00"
comprar vivienda sin ahorros,480,21,1.22,0.81,2830000,"Informational, Transactional","Reviews, Site links, Video, People also ask, Video carousel","0.01,0.01,0.24,0.05,0.03,0.15,0.24,0.01,0.01,0.01,0.00,0.00"
cuando sale cheque ahorro carrefour,480,19,0.37,0.02,70,Informational,"Reviews, Video, People also ask, Image pack","0.16,0.36,0.13,1.00,0.16,0.45,0.20,0.55,0.36,0.36,0.45,0.76"
cuando sale cheque ahorro carrefour 2021,480,18,0.00,0.00,77,Informational,"Reviews, Video, People also ask, Image pack","0.13,0.24,0.13,1.00,0.11,0.13,0.02,0.01,0.01,0.00,0.00,0.00"
cuenta ahorro online,480,50,2.05,0.81,41100000,Commercial,"Reviews, Site links, FAQ, Video, People also ask, Image pack, Adwords top, Adwords bottom","0.16,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00"
cuenta de ahorros,480,43,0.72,0.58,36100000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Video carousel","0.44,0.54,0.54,0.44,0.44,0.54,0.54,0.54,0.54,0.54,1.00,0.67"
el modo ahorro de energía daña la batería,480,32,0.00,0.01,82700,Informational,"Featured snippet, Video, People also ask, Image pack","1.00,0.01,0.07,0.01,0.08,0.02,0.01,0.01,0.00,0.00,0.00,0.00"
es malo tener el modo ahorro de energía siempre,480,33,0.00,0.00,1100000,Informational,"Reviews, Video, People also ask","1.00,0.54,0.20,0.03,0.20,0.41,0.03,0.03,0.00,0.02,0.02,0.02"
fechas cheque ahorro carrefour 2021,480,25,0.00,0.02,81,Informational,"Reviews, Video, People also ask, Image pack","0.31,0.31,0.11,1.00,0.11,0.16,0.02,0.07,0.03,0.01,0.01,0.01"
mas ahorro,480,25,0.31,0.06,147000000,Navigational,"Local pack, Reviews, Site links, Video, Image, Image pack","0.44,0.81,0.81,0.66,0.66,0.81,0.81,1.00,1.00,0.81,0.66,0.66"
medidas ahorro energético gobierno,480,,0.56,0.03,,,,"0.00,0.00,0.04,0.52,0.37,0.00,0.00,1.00,0.00,0.52,0.00,0.13"
modo ahorro bateria iphone,480,45,0.00,0.00,98,Informational,"Featured snippet, Reviews, Video, People also ask, Image pack, Video carousel","0.66,0.54,0.54,0.66,0.66,0.66,0.54,0.66,0.81,0.81,0.66,1.00"
pedro sanchez corbata ahorro energetico,480,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
plantilla ahorro 365 días pdf,480,,0.00,0.00,,,,"0.45,1.00,0.00,0.30,0.00,0.76,0.00,0.67,0.55,0.30,0.67,0.16"
próximo cheque ahorro carrefour 2021,480,18,0.00,0.02,68,Informational,"Reviews, Video, People also ask, Image pack","0.45,0.24,0.13,1.00,0.10,0.06,0.01,0.08,0.05,0.02,0.02,0.02"
