Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
consumo responsable beneficios,30,,0.00,0.00,,,,"0.18,0.00,0.36,0.18,0.36,0.18,1.00,0.18,0.18,0.18,0.18,0.18"
consumo responsable burbuja,30,,0.00,0.00,,,,"0.11,0.44,0.33,1.00,0.22,0.11,0.77,0.22,0.22,0.22,0.22,0.22"
consumo responsable caracteristicas,30,,0.00,0.00,,,,"0.00,0.14,0.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.00"
consumo responsable comercio justo,30,,0.00,0.00,,,,"0.00,0.18,0.18,0.81,1.00,0.36,0.18,0.18,0.18,0.18,0.00,0.00"
consumo responsable de alcohol oms,30,,0.00,0.00,,,,"0.28,0.00,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.00,0.00"
consumo responsable de cocaina,30,,0.00,0.00,,,,"0.00,1.00,0.36,0.63,0.00,0.36,0.00,0.18,0.18,0.18,0.18,0.18"
consumo responsable de la electricidad,30,,0.00,0.00,,,,"0.18,0.00,0.18,0.63,0.36,0.36,0.18,0.18,0.18,0.18,0.18,0.18"
consumo responsable de la ropa,30,,0.00,0.00,,,,"0.00,0.36,0.18,0.18,0.00,1.00,0.63,0.18,0.18,0.00,0.18,0.18"
consumo responsable de medicamentos,30,,0.00,0.00,,,,"0.00,0.44,0.22,0.00,1.00,0.22,0.77,0.22,0.22,0.22,0.22,0.22"
consumo responsable del agua ejemplos,30,,0.00,0.29,,,,"0.00,0.00,0.64,0.14,1.00,0.28,0.00,0.14,0.14,0.00,0.00,0.14"
consumo responsable del agua pdf,30,,0.00,0.00,,,,"0.00,0.18,0.00,1.00,0.81,0.00,0.18,0.18,0.18,0.18,0.18,0.00"
consumo responsable del medio ambiente,30,,0.00,0.00,,,,"0.14,0.28,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
consumo responsable del papel,30,,0.00,0.00,,,,"1.00,0.18,0.36,0.36,0.36,0.00,1.00,0.18,0.18,0.18,0.00,0.00"
consumo responsable en el hogar,30,,0.00,0.43,,,,"0.14,0.14,0.14,0.28,0.14,0.14,0.50,0.14,0.14,0.14,0.14,0.14"
consumo responsable energia,30,,0.00,0.09,,,,"0.36,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
consumo responsable es,30,,0.00,0.00,,,,"0.00,0.14,0.14,0.14,0.00,1.00,0.14,0.14,0.00,0.14,0.14,0.14"
consumo responsable importancia,30,,0.00,0.00,,,,"0.00,1.00,0.77,0.22,0.44,0.00,0.22,0.22,0.22,0.22,0.22,0.00"
consumo responsable mapa conceptual,30,,0.00,0.00,,,,"0.00,0.11,0.00,1.00,0.00,0.00,0.41,0.11,0.11,0.11,0.00,0.11"
consumo responsable significado,30,,0.00,0.00,,,,"0.00,0.18,0.18,1.00,1.00,0.36,0.18,0.18,0.18,0.18,0.18,0.00"
consumo responsable tips,30,,0.00,0.00,,,,"0.00,0.00,0.52,0.11,0.00,1.00,0.11,0.11,0.11,0.00,0.00,0.11"
consumo responsable y consumismo,30,,0.00,0.00,,,,"0.00,0.11,0.00,0.23,0.52,1.00,0.11,0.11,0.11,0.11,0.00,0.00"
consumo responsable youtube,30,,0.00,0.00,,,,"0.00,0.14,0.14,0.50,1.00,0.14,0.14,0.14,0.14,0.14,0.00,0.00"
de consumir a consumidor responsable,30,,0.00,0.00,,,,"0.18,0.18,0.18,0.36,0.63,1.00,0.36,0.18,0.18,0.18,0.18,0.18"
dia consumo responsable,30,,0.00,0.00,,,,"0.22,1.00,0.22,0.22,1.00,0.22,0.44,0.22,0.22,0.22,0.22,0.22"
dia mundial del consumo responsable,30,,0.00,0.03,,,,"0.21,0.21,0.07,0.14,0.35,0.14,0.21,1.00,0.14,0.14,0.14,0.14"
dinamicas consumo responsable,30,,0.00,0.00,,,,"0.28,0.28,0.57,1.00,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
documental consumo responsable,30,,0.00,0.00,,,,"0.50,0.14,0.14,0.14,0.14,0.50,0.14,0.14,0.14,0.14,0.14,0.14"
ejemplos de consumo no responsable,30,,0.00,0.00,,,,"0.00,0.11,0.00,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00"
emprendimiento sostenibilidad y consumo responsable asignaturas,30,,0.55,0.16,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.06"
empresas con consumo responsable,30,,0.00,0.00,,,,"0.00,0.23,1.00,0.11,0.00,0.11,0.00,0.11,0.11,0.11,0.00,0.00"
empresas de consumo responsable,30,,0.00,0.00,,,,"0.00,0.14,0.28,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.00"
en que consiste el consumo responsable,30,,0.00,0.00,,,,"0.00,0.36,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.36,0.18,0.00"
encuesta consumo responsable,30,,0.00,0.14,,,,"0.22,1.00,0.22,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22"
es importante que la gente tenga un consumo responsable,30,,0.00,0.00,,,,"0.00,0.81,0.18,0.18,0.18,0.36,0.18,0.18,0.18,0.18,0.18,0.18"
eu consumo responsable,30,,0.00,0.00,,,,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11"
feria de productos ecológicos y consumo responsable,30,,0.00,0.00,,,,"0.00,0.44,0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22"
fira consum responsable barcelona,30,,0.00,0.00,,,,"0.11,0.11,0.11,1.00,0.11,0.52,0.11,0.11,0.11,0.00,0.00,0.00"
foro burbuja consumo responsable,30,,0.00,0.00,,,,"1.00,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14"
fotos de consumo responsable,30,,0.00,0.00,,,,"0.00,1.00,0.22,0.22,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22"
frases cortas sobre el consumo responsable,30,,0.00,0.00,,,,"0.00,0.00,0.78,0.14,1.00,0.14,0.00,0.14,0.14,0.00,0.14,0.00"
frases del consumo responsable,30,,0.00,0.00,,,,"0.00,0.14,1.00,0.14,0.78,0.14,0.14,0.14,0.14,0.00,0.14,0.00"
frases sobre el consumo responsable,30,,0.00,0.00,,,,"1.00,0.57,0.57,0.28,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
guia de consumo responsable,30,,0.00,0.07,,,,"1.00,0.28,0.28,0.28,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
imagenes del consumo responsable,30,,0.00,0.00,,,,"0.00,0.11,0.11,0.11,1.00,0.11,0.52,0.11,0.00,0.00,0.11,0.00"
importancia consumo responsable,30,,0.00,0.00,,,,"0.00,0.00,0.41,0.11,0.82,0.11,0.00,0.11,0.11,0.11,0.11,0.00"
importancia del consumo responsable,30,,0.00,0.00,,,,"0.18,0.18,0.27,0.18,1.00,0.18,0.18,0.27,0.18,0.27,0.27,0.18"
información sobre el consumo responsable,30,,0.00,0.00,,,,"0.00,0.18,0.18,1.00,0.18,0.36,0.18,0.18,0.18,0.18,0.18,0.00"
juegos consumo responsable,30,,0.00,0.10,,,,"1.00,0.81,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18"
libros sobre consumo responsable,30,,0.00,1.00,,,,"0.22,0.22,0.22,0.22,0.22,0.44,1.00,0.22,0.22,0.22,0.22,0.22"
medidas para el consumo responsable del agua,30,,0.00,0.00,,,,"0.00,0.00,0.64,1.00,0.11,0.11,0.11,0.11,0.00,0.00,0.11,0.00"
modelo de consumo responsable,30,,0.00,0.00,,,,"0.00,0.00,0.00,0.64,0.14,0.64,1.00,0.14,0.14,0.14,0.14,0.00"
objetivo de produccion y consumo responsable,30,,0.00,0.00,,,,"0.00,0.28,1.00,0.28,0.14,0.14,0.28,0.14,0.14,0.14,0.14,0.00"
produccion y consumo responsable desarrollo sostenible,30,,0.00,0.00,,,,"0.64,1.00,0.14,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.14,0.00"
productos de consumo responsable,30,,0.00,0.00,,,,"0.14,0.71,0.71,0.14,0.14,1.00,0.14,0.28,0.28,0.28,0.28,0.28"
que entendemos por consumo responsable,30,,0.00,0.00,,,,"0.18,0.18,1.00,0.18,0.00,0.18,0.63,0.18,0.18,0.18,0.18,0.00"
que significa consumo responsable,30,,0.00,0.00,,,,"0.00,0.14,0.14,0.28,0.28,0.14,1.00,0.14,0.14,0.14,0.14,0.14"
qué es el consumo responsable y ejemplos,30,,0.00,0.00,,,,"0.28,0.28,0.57,1.00,0.57,1.00,0.57,0.28,0.28,0.28,0.28,0.00"
qué es la producción y consumo responsable,30,,0.00,0.14,,,,"0.40,0.40,0.40,0.40,0.40,1.00,0.40,0.40,0.40,1.00,0.40,0.40"
responsabilidad en el consumo,30,,0.00,0.00,,,,"0.00,0.00,0.18,0.18,1.00,0.18,0.36,0.18,0.18,0.18,0.18,0.18"
slogan consumo responsable,30,,0.00,0.00,,,,"0.00,0.14,0.14,0.14,0.28,0.14,0.78,0.14,0.14,0.14,0.14,0.14"
taller consumo responsable,30,,0.00,0.00,,,,"0.28,0.14,0.14,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
tips de consumo responsable,30,,0.00,0.00,,,,"0.52,0.11,0.11,0.11,0.82,0.00,0.00,0.11,0.00,0.11,0.11,0.11"
unidad didactica consumo responsable,30,,0.00,0.00,,,,"0.18,1.00,0.18,0.18,0.18,0.63,0.18,0.18,0.18,0.18,0.18,0.18"
unidad didactica consumo responsable primaria,30,,0.00,0.00,,,,"0.00,0.11,0.11,0.00,0.11,1.00,0.11,0.11,0.00,0.00,0.11,0.00"
videos sobre consumo responsable,30,,0.00,0.00,,,,"0.36,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.00,0.18,0.18,0.00"
www burbuja info foros consumo responsable,30,,0.00,0.00,,,,"0.00,0.00,0.00,0.78,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14"
www disfruta de un consumo responsable com 40o,30,,0.00,0.00,,,,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
www disfruta de un consumo responsable com martini,30,,0.00,0.00,,,,"0.00,0.00,0.11,0.64,0.52,0.52,0.11,0.11,0.00,0.00,0.11,0.00"
1 ejemplo de consumo responsable,20,,0.00,0.00,,,,"1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00"
10 ejemplos de consumo responsable,20,,0.00,0.00,,,,"0.00,0.50,0.50,1.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00"
12 produccion y consumo responsable,20,,0.00,0.10,,,,"0.33,0.11,1.00,0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.22,0.22"
12 producción y consumo responsable,20,,0.00,0.10,,,,"1.00,0.20,0.20,0.80,0.20,1.00,0.20,0.40,0.00,0.00,0.00,0.00"
15 de marzo dia del consumo responsable,20,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
acciones de consumo responsable,20,,0.00,0.00,,,,"0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00"
actividades consumo responsable,20,,0.00,0.14,,,,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50"
agua consumo responsable,20,,0.00,0.05,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
articulos sobre consumo responsable,20,,0.00,0.43,,,,"0.00,0.20,1.00,0.20,0.20,0.00,0.60,0.40,0.00,0.40,0.40,0.40"
características de consumo responsable,20,,0.00,0.00,,,,"0.00,0.00,1.00,0.50,0.50,0.50,0.00,0.50,0.00,0.50,0.50,0.50"
cartel del consumo responsable,20,,0.00,0.00,,,,"0.00,0.00,1.00,0.22,0.00,0.22,0.22,0.22,0.00,0.00,0.22,0.22"
ciudadania y consumo responsable,20,,0.00,0.00,,,,"0.00,0.18,0.18,1.00,0.00,0.00,0.00,0.18,0.18,0.18,0.00,0.00"
como consumir de manera responsable,20,,0.00,0.43,,,,"0.20,0.20,0.20,0.20,0.20,1.00,0.60,0.40,0.40,0.40,0.40,0.40"
como es el consumo responsable,20,,0.00,0.29,,,,"0.00,0.00,1.00,0.00,0.00,0.00,0.18,0.18,0.18,0.18,0.18,0.18"
como fomentar un consumo responsable y sostenible,20,,0.00,0.00,,,,"0.00,0.00,0.00,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.00"
como hacer consumo responsable,20,,0.00,0.00,,,,"0.00,0.28,0.57,0.00,0.57,0.00,0.28,0.28,0.28,0.00,0.28,0.28"
como hacer un consumo responsable,20,,0.00,0.07,,,,"0.00,0.14,0.14,1.00,0.14,0.14,0.14,0.28,0.28,0.28,0.28,0.28"
