Type,Title,ngstarinserted__divcontains_class_ecludnone,ngstarinserted__divcontains_class_ecludnone3,eclrow,eclrow5,eclrow7,Content8,eclrow9,Image
 BUSH , MUCFR55BLK ,Annual energy consumption, 180,Sum of the volumes of the frozen compartment(s), 72,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TELEFUNKEN , TLK7173MWN ,Annual energy consumption, 310,Sum of the volumes of the frozen compartment(s), 98,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 305, 305,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RB275GM1110UA ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 80,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 202, 202,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RP466CXF0CY ,Annual energy consumption, 368,Sum of the volumes of the frozen compartment(s), 169,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 297, 297,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Klarstein , 10034436A ,Annual energy consumption, 192,Sum of the volumes of the frozen compartment(s), 51,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SUNFEEL , FGF1862FX ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 88,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 207, 207,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SUNFEEL , CGS1856SB ,Annual energy consumption, 311,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRC207SLF01 ,Annual energy consumption, 228,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRD86SLF34 ,Annual energy consumption, 100,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 47, 47,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRD142SLF34 ,Annual energy consumption, 107,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 93, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ECRON , CO2451M ,Annual energy consumption, 246,Sum of the volumes of the frozen compartment(s), 188,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIR24EFF0 ,Annual energy consumption, 129,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 221, 221,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Tesla , RH3200H1 ,Annual energy consumption, 293,Sum of the volumes of the frozen compartment(s), 308,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WONDER , WDF01181NF ,Annual energy consumption, 280,Sum of the volumes of the frozen compartment(s), 75,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 195, 195,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NobeLTek , NCF-249 ,Annual energy consumption, 270,Sum of the volumes of the frozen compartment(s), 249,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NobeLTek , NFS-165W ,Annual energy consumption, 238,Sum of the volumes of the frozen compartment(s), 173,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KONEN , KC18055NF21 ,Annual energy consumption, 280,Sum of the volumes of the frozen compartment(s), 75,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 195, 195,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KONEN , F1PK8548W ,Annual energy consumption, 107,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 90, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SMEG , CV215NF ,Annual energy consumption, 266,Sum of the volumes of the frozen compartment(s), 177,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHITEWOOD , MRT4055Z03 ,Annual energy consumption, 181,Sum of the volumes of the frozen compartment(s), 17,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 105, 105,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MIDEA , MT333A1W A ,Annual energy consumption, 247,Sum of the volumes of the frozen compartment(s), 54,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 198, 198,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HTF-540DGG7 ,Annual energy consumption, 360,Sum of the volumes of the frozen compartment(s), 174,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 354, 354,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HB16FMAA ,Annual energy consumption, 371,Sum of the volumes of the frozen compartment(s), 140,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 306, 306,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HB16WMAA ,Annual energy consumption, 371,Sum of the volumes of the frozen compartment(s), 140,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 304, 304,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HFF-750CGBJ ,Annual energy consumption, 340,Sum of the volumes of the frozen compartment(s), 221,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 267, 267,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HEFR3719FWMP ,Annual energy consumption, 371,Sum of the volumes of the frozen compartment(s), 140,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 304, 304,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , OS 1A 140 H (2) ,Annual energy consumption, 224,Sum of the volumes of the frozen compartment(s), 132,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 BRANDT , BFC8600NW /1 ,Annual energy consumption, 291,Sum of the volumes of the frozen compartment(s), 76,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 210, 210,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 BRANDT , BIS624ES -02 ,Annual energy consumption, 182,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 171, 171,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Constructa , CK577VSF0 ,Annual energy consumption, 260,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 169, 169,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Neff , KI5672FF0 ,Annual energy consumption, 245,Sum of the volumes of the frozen compartment(s), 52,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 157, 157,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Siemens , KI67VVFF0 ,Annual energy consumption, 245,Sum of the volumes of the frozen compartment(s), 52,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 157, 157,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV86VSF0G ,Annual energy consumption, 279,Sum of the volumes of the frozen compartment(s), 76,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 192, 192,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV67VFF0 ,Annual energy consumption, 245,Sum of the volumes of the frozen compartment(s), 52,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 157, 157,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV86VSF0S ,Annual energy consumption, 279,Sum of the volumes of the frozen compartment(s), 76,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 192, 192,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV87VSF0 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 209, 209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Beko , KDSA2430WN ,Annual energy consumption, 228,Sum of the volumes of the frozen compartment(s), 46,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 177, 177,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SMEG , FS09FW ,Annual energy consumption, 181,Sum of the volumes of the frozen compartment(s), 17,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 105, 105,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Gaggenau , RT200203 ,Annual energy consumption, 180,Sum of the volumes of the frozen compartment(s), 15,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 108, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Junker , JC77BBSF0 ,Annual energy consumption, 260,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 169, 169,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Oceanic , OCEACUF188S ,Annual energy consumption, 246,Sum of the volumes of the frozen compartment(s), 188,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kernau , KFRC 18151.1 NF X ,Annual energy consumption, 280,Sum of the volumes of the frozen compartment(s), 75,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 204, 204,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RF436GM1110 ,Annual energy consumption, 355,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 300, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RT545GM1220GR ,Annual energy consumption, 358,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 394, 394,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TEGRAN , TGVF118521 ,Annual energy consumption, 153,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 396, 396,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , HS-186CN ,Annual energy consumption, 228,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 RADIOLA , RADD205X ,Annual energy consumption, 215,Sum of the volumes of the frozen compartment(s), 37,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 169, 169,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SCHNEIDER , SCSBSWD436NFX ,Annual energy consumption, 359,Sum of the volumes of the frozen compartment(s), 151,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 291, 291,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SCHNEIDER , SCCB292WDX ,Annual energy consumption, 290,Sum of the volumes of the frozen compartment(s), 83,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 217, 217,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 BUSH , WC52 ,Annual energy consumption, 190,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 142, 142,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SCHONTECH , SCH851PN ,Annual energy consumption, 136,Sum of the volumes of the frozen compartment(s), 12,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 77, 77,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TELEFUNKEN , TLK201EWN ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TELEFUNKEN , TLK101WN ,Annual energy consumption, 136,Sum of the volumes of the frozen compartment(s), 12,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 77, 77,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RB315WM1110CY ,Annual energy consumption, 309,Sum of the volumes of the frozen compartment(s), 99,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 219, 219,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RP505SXF0UK ,Annual energy consumption, 393,Sum of the volumes of the frozen compartment(s), 181,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 324, 324,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ICECOOL , ICCOM186W ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 88,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 207, 207,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SUNFEEL , CG1442E ,Annual energy consumption, 246,Sum of the volumes of the frozen compartment(s), 188,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRD108FGF01 ,Annual energy consumption, 103,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 65, 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EUROCAVE , V-4000-L-TPPN2 ,Annual energy consumption, 132,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRD142SLF30G ,Annual energy consumption, 107,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 93, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Midea , MDRD142SLF34G ,Annual energy consumption, 107,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 93, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Tesla , RS0905H1 ,Annual energy consumption, 107,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 93, 93,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Blaupunkt , 5CN21020 ,Annual energy consumption," 113,88",Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 137, 137,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 FISHER & PAYKEL , RF523G series ,Annual energy consumption, 350,Sum of the volumes of the frozen compartment(s), 177,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 298, 298,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SUNFEEL , FG1754 ,Annual energy consumption, 261,Sum of the volumes of the frozen compartment(s), 70,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 242, 242,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARCTIC , AK54270M30W ,Annual energy consumption, 275,Sum of the volumes of the frozen compartment(s), 87,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 175, 175,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ALTUS , KG 1850 ,Annual energy consumption, 280,Sum of the volumes of the frozen compartment(s), 69,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 193, 193,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SMEG , FD32F ,Annual energy consumption, 260,Sum of the volumes of the frozen compartment(s), 69,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 237, 237,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ELEKTRABREGENZ , KSD 73424 X ,Annual energy consumption, 228,Sum of the volumes of the frozen compartment(s), 46,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 177, 177,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NobeLTek , NCN-295W ,Annual energy consumption, 290,Sum of the volumes of the frozen compartment(s), 83,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 219, 219,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NobeLTek , NFN-260X ,Annual energy consumption, 302,Sum of the volumes of the frozen compartment(s), 271,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NobeLTek , NCF-143 ,Annual energy consumption, 228,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TEGRAN , TGVCV14421 ,Annual energy consumption, 246,Sum of the volumes of the frozen compartment(s), 188,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KONEN , KC1705519 ,Annual energy consumption, 277,Sum of the volumes of the frozen compartment(s), 84,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 184, 184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KONEN , FK160 ,Annual energy consumption, 223,Sum of the volumes of the frozen compartment(s), 42,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 201, 201,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Helkama , HRK218RR ,Annual energy consumption, 232,Sum of the volumes of the frozen compartment(s), 48,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 160, 160,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARCTIC , AC135M31W ,Annual energy consumption, 218,Sum of the volumes of the frozen compartment(s), 117,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARCTIC , AK60320M30W ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 95,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 205, 205,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARCTIC , AC60250M30W ,Annual energy consumption, 256,Sum of the volumes of the frozen compartment(s), 215,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Blaupunkt , 5CC187FF0 ,Annual energy consumption," 270,1",Sum of the volumes of the frozen compartment(s), 70,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 200, 200,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ORIMA , ORA 301 ,Annual energy consumption, 223,Sum of the volumes of the frozen compartment(s), 42,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 201, 201,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MIDEA , MS689A1 A ,Annual energy consumption, 401,Sum of the volumes of the frozen compartment(s), 197,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 335, 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , FD15FPAA ,Annual energy consumption, 371,Sum of the volumes of the frozen compartment(s), 140,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 306, 306,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HB15FPAA ,Annual energy consumption, 371,Sum of the volumes of the frozen compartment(s), 140,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 306, 306,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HTF-508DGS7 ,Annual energy consumption, 380,Sum of the volumes of the frozen compartment(s), 177,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 360, 360,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Haier , HTF-452DM7 ,Annual energy consumption, 315,Sum of the volumes of the frozen compartment(s), 154,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 314, 314,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , H8 A2E X (2) ,Annual energy consumption, 301,Sum of the volumes of the frozen compartment(s), 111,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 226, 226,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , E4D B C1 ,Annual energy consumption, 360,Sum of the volumes of the frozen compartment(s), 150,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 302, 302,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
