Type,Title,eclrow2,Content,eclualignitemslgend,eclualignitemslgend5,Image
 Bosch , WQG2450SFR ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Haier , HD90-A3Q979U1 ,Weighted Annual Energy Consumption, 194,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:16,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Haier , HD90-A3Q979SU1 ,Weighted Annual Energy Consumption, 194,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , RH10V9AV2WR ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , V9A2XT ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , RH1V92WH ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , RC11V9JV2WR ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , FDV1110W ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 LG Electronics , FDV1110B ,Weighted Annual Energy Consumption, 210,Programme time of the ‘standard cotton programme at full load’ (T dry), 4:38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WQG134DRFR ,Weighted Annual Energy Consumption, 176,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX80KL9SN ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83203FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VMXPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83VP6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VP6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VL5SN ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VS6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG1420SFR ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VB6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83002FG ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 hanseatic , HWT8A2GT ,Weighted Annual Energy Consumption," 233,8",Programme time of the ‘standard cotton programme at full load’ (T dry), 2:55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 SABA , DR9HP22W ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 FAR , SL7CD22W ,Weighted Annual Energy Consumption, 504,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:01,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 SABA , DR8HP22W ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:17,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 HOTPOINT/ARISTON , NT M11 92WK IT ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 INDESIT , YT M11 92 X UK ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Hoover , HLE C10TCE-80 ,Weighted Annual Energy Consumption, 671,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:17,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 BAUKNECHT , TS M10 81SK EU ,Weighted Annual Energy Consumption, 307,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 WHIRLPOOL , FFTN M11 82 FR ,Weighted Annual Energy Consumption, 234,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:14,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Hoover , NDEH11A2TSBEXS-S ,Weighted Annual Energy Consumption, 304,Programme time of the ‘standard cotton programme at full load’ (T dry), 5:50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 BAUKNECHT , TK AO 83 N ,Weighted Annual Energy Consumption, 175,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT47XM00EU ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX87K00BY ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WQG233CRPL ,Weighted Annual Energy Consumption, 176,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT45HVX1FR ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HVA3 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43HVE6DN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43HVP6DN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85205BY ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85292BY ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTX80KM9SN ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45RHC5DN ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45H2I5DN ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83252PL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V03 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85207BY ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83204NL ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85207NL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VC6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85220BY ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VI6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VM6SN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HV13FR ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HVB6DN ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43H205NL ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83253BY ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85200NL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V13 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83002BY ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 WHIRLPOOL , FFT M11 82B FR ,Weighted Annual Energy Consumption, 234,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:14,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 PRIVILEG , PWCT M11 83 N ,Weighted Annual Energy Consumption, 175,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 BAUKNECHT , TKL M11 83 N ,Weighted Annual Energy Consumption, 175,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT45HVEEPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG245EASN ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V8SPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V1GPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85077PL ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Samsung , DV90BB9445GM ,Weighted Annual Energy Consumption, 182,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BBA245TW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BB5245AB ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV91BB5245AB ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV91BBA245AW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BBA245AE ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV9EBBA245AE ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BBA245AW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BB5245AW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BB5245TW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV9EBB5245AW ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Samsung , DV90BB5245AE ,Weighted Annual Energy Consumption, 192,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 BAUKNECHT , KT Eco Dry 8B2JGS ,Weighted Annual Energy Consumption, 562,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 Siemens , WT48XM90NL ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT47XK90FR ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT48XK90FG ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX88M90NL ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX87K90FR ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX88K90FG ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX88M70NL ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Siemens , WT48XM75NL ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTX88M75NL ,Weighted Annual Energy Consumption, 193,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:35,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WQG233C0IT ,Weighted Annual Energy Consumption, 176,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTH85V3FPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG232ALSN ,Weighted Annual Energy Consumption, 235,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG24108IT ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTX87K01BY ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Constructa , CWK3R203 ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V93 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG241A5IT ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG245AESN ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VH3 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG23100IT ,Weighted Annual Energy Consumption, 235,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG241A0IT ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG24109IT ,Weighted Annual Energy Consumption, 259,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HVG3 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HV93 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43HV03 ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Constructa , CWK6R203 ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85V2KPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83003 ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Siemens , WT43H003 ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 BAUKNECHT , T Advance M11 83 N ,Weighted Annual Energy Consumption, 175,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
