Type,Title,eclrow,eclrow1,eclrow4,eclrow5,Image
 EXPOSICION Y CONSERVACION DE ALIMENTOS S.A. , EPREL_DHN4-3.05.3L1-PRUEBA SERVERDOMIBUS 2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 975,29",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 JUKA , R-1 RG/R290/DU 160 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 251,09",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , ODENSE FOOD TO GO WITH DOOR 248605431 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 289,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , ODENSE DAIRY WITH DOOR 248005596 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 464,02",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
" EXKAL, S.A. ", SVMNC1-C_00_3M1_4.45_5032.62 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 032,62",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
" EXKAL, S.A. ", SVMNC1-3_00_3M1_3.20_5512.96 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 512,96",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , ODENSE DAIRY WITH DOOR 248005597 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 289,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , ODENSE EOI WITH DOOR 248505429 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 127,96",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , ODENSE RIM 246105394 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 897,29",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE DAIRY WITH DOOR 248005599 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 870,37",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 1.875 01060121 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 073,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE MEAT WITH DOOR 248405427 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 869,63",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE PRODUCE WITH DOOR 248205423 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 955,67",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE PRODUCE WITH DOOR 248205425 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 869,63",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
" EXKAL, S.A. ", SVLNU1-6_00_3M1_5.96_10235.33 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 235,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE MEAT WITH DOOR 248405426 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 955,67",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE RIM 246105395 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 282,06",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE RIM WITH DOOR 248105600 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 897,29",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , ODENSE RIM WITH DOOR 248105602 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 282,06",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 2.5 D R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 869,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 2.5 01010121 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 869,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 1.875 D R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 946,25",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 1.875 01010121 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 946,25",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
" EXKAL, S.A. ", VLNU1-6_01_3M1_6.30_23517.32 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 23 517,32",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
" EXKAL, S.A. ", VLNU1-6_01_3M1_6.30_23333.36 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 23 333,36",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 2.5 01010022 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 16 235,20",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 1.875 01010022 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 431,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 2.5 R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 16 235,20",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 ES SYSTEM K , RCS SCORPION 86.215 1.875 R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 431,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 GGG , 68.01TC ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 344,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
" EXKAL, S.A. ", VMSC1-2_00_3M1_2.23_7341.07 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 341,07",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
" EXKAL, S.A. ", VMSC1-2_00_3M1_2.23_8967.37 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 967,38",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 L2G , DIANA ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 327,14",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
" EXKAL, S.A. ", SVMSC1-6_00_3M1_6.46_10960.59 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 960,59",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
" EXKAL, S.A. ", DYHN4-3_00_3L1_3.18_19510.71 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 19 510,71",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
" EXKAL, S.A. ", DYHN4-3_00_3L1_3.18_19943.60 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 19 943,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TENSAI , VPL100ST2VVR000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 788,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TENSAI , VPL130ST2VVR000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 952,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Snaige , CD555 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 971,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Scandomestic A/S  , XS 802 E  ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 482,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Briskly , CD555 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 467,30",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD1000Ds ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 3 482,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD700D ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 664,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD800s ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 916,25",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD555D ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 467,30",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD700 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 664,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD1000 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 3 482,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Briskly , CD1000s ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 3 482,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ProfiChef 40-780 Katowice Owsiana 58A , PC15311 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 141,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 ProfiChef 40-780 Katowice Owsiana 58A , PC15341 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 912,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 mQuvee , B30SST82-700 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 204,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , LG3/150L ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 321,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 ProfiChef 40-780 Katowice Owsiana 58A , PC15258 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 184,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , LG3/150LG ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 343,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , MG3/150L ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 299,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , MG3/150LG ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 350,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , MG3/250 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 445,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Gamko B.V. , MG3/250SD ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 504,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , LG3/315 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 708,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/275G ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 723,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/315 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 701,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , LG3/250G ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 518,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , LG3/250SD ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 548,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/250G ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 500,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/315G ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 781,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , LG3/315G ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 745,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 STARLUX , STCTV220I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 711,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 STARLUX , STCTO220I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 675,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 STARLUX , STCTC170I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 602,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/275 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 628,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , LG3/250 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 460,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Gamko B.V. , MG3/275SD ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 832,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Gamko B.V. , MG3/315SD ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 861,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Gamko B.V. , LG3/315SD ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 796,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 STARLUX , STCTO300I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 314,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTO500I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 715,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTC500I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 733,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 RADISO , ICE520GIV ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 807,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTV300I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 368,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTV500I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 806,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTV400I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 587,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 RADISO , TCHC520 ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 734,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTO400I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 496,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTC300I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 314,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bomann , KSG 7280.1 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 059,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STARLUX , STCTC400I ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 533,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TENSAI , ARM070S1FVPV000/BR ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 277,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM120S1FVPV000/IN ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 993,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM120S1FVPV000006 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 993,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM070S1FVPV000/IN ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 277,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM120S1FVPV000/BR ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 993,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM120S1FVPV000/CZ ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 993,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM070S1FVPV000/CZ ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 277,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , ARM120S1FVPV000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 993,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 ES SYSTEM K , RCM 65.144 0.9 SQR PIN D ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 803,20",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 TENSAI , CVL70INS1FEPV ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 759,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FVPV000/IN ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 394,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , CVL70PVC ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 759,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FEPV000/BR ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 467,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ES SYSTEM K , RCM MIA 65.144 0.9 SQR PIN 01020121 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 777,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , VPA130ST1VVR000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 526,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , VPA130ST1VVR000001 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 526,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FEPV000/IN ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 467,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , GOHCC190GI ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 584,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , VGE100ST1VVR000/BK ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 7 482,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , VGE130ST1VVR000/BK ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 8 541,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FVPV000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 394,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FEPV000/CZ ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 467,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , CVL70PV ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 759,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , VPA100ST1VVR000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 832,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FVPV000/BR ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 394,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , ACM070S1FVPV000/CZ ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 394,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , CVL70PVS ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 759,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 TENSAI , MAE100ST1PVF100/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 621,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 TENSAI , MAE130ST1PVC000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 606,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 TENSAI , MAE150ST1PVB000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 227,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 TENSAI , MAE150ST1PVF000/BK ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 227,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
